comp_1,comp_2
-0.011244468233634525,0.015688341482130566
-0.011244468266525965,0.015637231632729582
-0.011244481977256344,-0.012993564190434103
-0.01124448311262726,-0.015369456804027681
-0.011244474316819995,0.002995149745685102
-0.01124446932100029,0.013428845272769732
-0.011244472211448198,0.00739146498129573
-0.011244471539480817,0.008789741828602907
-0.011244464802202309,0.02285870547605298
-0.011244476244358242,-0.0010272802369043577
-0.01124447498563255,0.0016005267556113874
-0.011244473081824115,0.005573949013107986
-0.011244481802487896,-0.012632162687573289
-0.0112444847162209,-0.018710610019717515
-0.01124447774506072,-0.004161028187601
-0.01124446430450223,0.02389478523877343
-0.011244479590966347,-0.008013002657120022
-0.011244474839692216,0.0019017743349205418
-0.011244472922510676,0.005900342292462077
-0.011244481070310041,-0.011101293213993228
-0.01124448324139757,-0.015635598655857025
-0.01124448011773593,-0.009111984751092763
-0.011244475324174292,0.0008949196603793307
-0.011244470339971308,0.011288979538756917
-0.011244478328653173,-0.005377826326761705
-0.011244468362510446,0.015416862667021067
-0.011244473166074858,0.0053982227165867945
-0.011244482946680462,-0.015030650025198445
-0.011244471680307996,0.00850150758370245
-0.01124447194205984,0.007945140842836242
-0.011244478776435666,-0.006316909100738727
-0.011244485014622638,-0.019383832312784764
-0.011244480435151487,-0.009774758715262696
-0.011244469793657069,0.01243819868074056
-0.011244475131336223,0.0012921611883362728
-0.01124446492371742,0.022591990654234066
-0.011244472917261694,0.005917569309808152
-0.01124447907359584,-0.006932377543287185
-0.011244470177785052,0.01163256912228978
-0.011244491419082433,-0.03271598736272307
-0.011244470338943968,0.011301412453482656
-0.011244477840317504,-0.004364106308863657
-0.011244480588422954,-0.010099046130275492
-0.011244480609740122,-0.010142523198952393
-0.011244477678575369,-0.004023069667363608
-0.01124447552767994,0.0004744719576946793
-0.011244471342383168,0.009201930574446083
-0.011244488156725699,-0.025898581959777203
-0.011244482545798604,-0.014185949907199224
-0.0112444641558662,0.024201832121668383
-0.011244475773231111,-4.531441760893843e-05
-0.01124447572406852,5.7494856873577906e-05
-0.011244472911009435,0.005929883134101707
-0.011244473819911413,0.004033376878321515
-0.011244475285659212,0.0009714338809516159
-0.01124448483195226,-0.01895738705379242
-0.011244471938083362,0.007962020516438297
-0.011244467167414177,0.01792114425484418
-0.011244471911265468,0.008013490660056815
-0.011244466412567076,0.019505410985305015
-0.011244474981846598,0.001605420147485301
-0.01124448397980599,-0.017172606468221434
-0.011244476942588054,-0.0024840869089673852
-0.011244465773419754,0.020819600258957155
-0.011244476041013564,-0.000608484927610843
-0.011244478440027428,-0.005610253101760439
-0.011244471891219035,0.008057981191114474
-0.011244481443939459,-0.011886727367660364
-0.011244469968767485,0.012066883089762517
-0.01124448015892481,-0.009195840951886284
-0.011244477493787671,-0.003640294333944301
-0.011244485358510362,-0.020051079322828937
-0.011244481330175703,-0.011644628095484907
-0.011244476378451775,-0.0013075461730549446
-0.011244472034047241,0.0077605238143028344
-0.011244476431071088,-0.0014192934923266856
-0.011244474640398912,0.0023052252951203628
-0.011244473901615594,0.0038721285842532338
-0.011244481769539794,-0.012566180373826417
-0.011244482928194981,-0.014980133300281594
-0.011244470099021617,0.011803235531174391
-0.011244476069543879,-0.0006658513246266595
-0.011244472362672824,0.007074787782004754
-0.011244483402594095,-0.01596909474950448
-0.011244478694854333,-0.006143364682139764
-0.011244481517169475,-0.012037522291149717
-0.011244472452035185,0.0068795405780949
-0.01124447866884607,-0.006086197529698742
-0.011244467286536197,0.017669436036565015
-0.011244473784028763,0.004107751148173489
-0.011244484380673226,-0.01801450062756507
-0.011244478119486109,-0.004941608090131469
-0.011244480937787033,-0.010828450647138842
-0.011244480032920738,-0.008940622121363206
-0.011244466546787164,0.019217191676980515
-0.011244466395312623,0.019527085814796247
-0.011244470082192703,0.011831620676423248
-0.011244474653075556,0.002297095736373693
-0.011244477760715249,-0.004191574963392294
-0.01124447040783526,0.011159352488021343
-0.011244471159739654,0.009589492043265592
-0.011244472815458728,0.0061297589550019654
-0.011244474368551196,0.0028903845507833228
-0.011244472521888775,0.0067444162562302476
-0.011244474790352033,0.002003302007802913
-0.011244479181917863,-0.007160260028308191
-0.011244479236735437,-0.007272898408478641
-0.011244477320147007,-0.003275900419694573
-0.011244482988038755,-0.015108454363229185
-0.011244482639508205,-0.01437450953832736
-0.0112444816344744,-0.012278026521389089
-0.011244479724441796,-0.008294877776081937
-0.011244481494986767,-0.011987600442889646
-0.011244473209277368,0.005307224125626233
-0.011244464677056242,0.02311672397872963
-0.011244472605182868,0.006565778416254444
-0.011244482771661502,-0.01466054426342851
-0.011244484580242084,-0.01843060386965268
-0.01124448093659818,-0.010824596368875485
-0.011244472552341327,0.006679892798284247
-0.01124448355410858,-0.01629185136562573
-0.011244474260458485,0.003116438221922473
-0.01124446820478356,0.015752349251582927
-0.01124447511091089,0.0013412040613328608
-0.011244481132486528,-0.011233162161536598
-0.011244469962203837,0.012081849362577267
-0.011244472643209978,0.006492497538997487
-0.011244481481696883,-0.011958414360712861
-0.011244471903942874,0.008029431604416538
-0.011244471883421658,0.008072873163198583
-0.011244485626284315,-0.020614247770060518
-0.011244475424144388,0.0006873652782403835
-0.011244476611784807,-0.0017945905964145098
-0.011244482772933214,-0.014658160725765439
-0.011244472397776718,0.007001866029980395
-0.01124447900414478,-0.006787546739031503
-0.011244472808111394,0.006136031769032018
-0.011244481000883301,-0.010954256820387564
-0.011244471562724912,0.008744482679383056
-0.011244480320734563,-0.009534920799513517
-0.011244475207294118,0.0011385488404931472
-0.011244477278535604,-0.0031833011281278234
-0.011244474400479107,0.002823038099631923
-0.011244471681355108,0.008499103212835549
-0.011244471681362342,0.008496690917646401
-0.011244482943694418,-0.015015228093190964
-0.011244472466166939,0.006860391636287764
-0.01124448493734181,-0.01917216396006257
-0.011244478135896272,-0.004980308174118518
-0.01124448305331193,-0.01523855882936152
-0.011244469644711371,0.012744827698508338
-0.011244481394088004,-0.011777113354493834
-0.011244468056815053,0.016059292798939594
-0.011244480845557943,-0.010632974676193535
-0.011244477440203796,-0.00352635279528167
-0.011244473175405077,0.005379204806587266
-0.0112444694638716,0.013118622801932751
-0.01124448226787619,-0.013602398818461238
-0.011244473361483586,0.0049900771341327066
-0.011244480430745224,-0.009768369122532943
-0.01124448099522811,-0.010948090043763674
-0.011244476304292202,-0.0011550286982365432
-0.011244472745139157,0.0062761476262370875
-0.011244467162391122,0.017934935791977948
-0.011244482332158778,-0.013733854154917883
-0.011244476261482736,-0.0010637340992125273
-0.011244474241686599,0.0031522476135357742
-0.011244471441344427,0.00899843071615748
-0.01124447568637941,0.00013843040810914285
-0.011244467870754483,0.01645214089688821
-0.011244478584862928,-0.005912602045530289
-0.01124447390656836,0.0038530172537938425
-0.011244469485867251,0.01308229912137352
-0.011244473163034854,0.005404380288087716
-0.011244480296179925,-0.00948454447117571
-0.011244469140318219,0.01381386213986415
-0.011244480234378657,-0.00935362020212574
-0.01124448677798858,-0.023014712305482337
-0.011244484637786847,-0.018549012038395117
-0.011244478444138105,-0.005621153781698717
-0.01124447284979003,0.006045717281145064
-0.011244475231137604,0.0010877292419227932
-0.011244469470011674,0.013115099984720859
-0.011244481502423133,-0.012002595626173238
-0.011244476538188644,-0.0016402360191560019
-0.011244477364382697,-0.0033690291161381706
-0.011244484508295701,-0.01827942339632032
-0.011244476624810368,-0.0018230251211340304
-0.011244473235713679,0.005253477936845971
-0.011244483645420612,-0.016480103727394044
-0.011244463767981654,0.025014491768887682
-0.011244482227033316,-0.013516185792376824
-0.011244473994677269,0.00366739136479631
-0.011244480071366043,-0.00901736298271239
-0.01124447088695129,0.010156860022668274
-0.011244473611859703,0.0044625729460093765
-0.011244480106527838,-0.009088139879215583
-0.011244473404892543,0.004901825033308234
-0.011244474017107002,0.003618803712438301
-0.011244476218118252,-0.0009748221746165685
-0.01124447784509886,-0.004366817299400486
-0.011244481029342506,-0.011012989724251151
-0.011244487853615301,-0.02526922782035038
-0.011244469253930195,0.013565956571828929
-0.01124447523809828,0.001069517739119685
-0.01124446542130724,0.021566211670029558
