,V,fitness,AH3,AF3,AF5,A3N3,s,tau,lambda1,lambda2,taquiónico,AD5,type
0,30.02920979585601,0.140463277049452,29.582218689930382,41.364892294113645,-18.826926995974105,-46.42675772305813,1.226398458003296,3.5690036992967404,-5.09915659575159,201.405034781473,1,,1
1,13.590942028355036,0.185487460854168,7.96066291696782,18.303076460865483,14.691709432684275,-20.450111594389117,1.226398458003296,3.5690036992967404,-0.0866450610626528,143.501721921699,1,,1
2,7.036938741099424,0.103989819836062,9.51461662705846,3.898719362226771,-20.821118042559817,-5.092519899288007,1.226398458003296,3.5690036992967404,-9.07631911087102,16.3572729630013,1,,1
3,-7.6617755822908835,0.0939087407927131,-5.353309326277312,-0.9049601014966696,-3.62396451327524,8.181836893336396,1.226398458003296,3.5690036992967404,-70.3476766822338,0.67618828552871,1,,-1
4,-13.569895086325188,0.100885918137631,-3.622229652143915,0.4351572571547706,-59.48981110252176,36.28295796802681,1.226398458003296,3.5690036992967404,-248.237259468324,0.105091772865898,1,,-1
5,33.99710581170073,0.104327406590693,19.00664128018785,40.614099449614685,57.197665769604754,-63.143186233431095,1.226398458003296,3.5690036992967404,-0.115619050858137,406.814699863679,1,,1
6,45.188807614897776,0.0601878630423786,37.44626578108708,55.59296962432202,31.050522151380164,-91.18707906964708,1.226398458003296,3.5690036992967404,-3.08227130510915,437.952240468937,1,,1
7,48.052727645644374,0.132154152269055,25.43978827034508,38.39316630941062,67.74108108147996,-68.15132585513481,1.226398458003296,3.5690036992967404,-0.712036584618598,544.290398044076,1,,1
8,3.341544453130212,0.110660322679458,10.057671785927084,2.6992404418754887,-34.95214617420889,-1.9886321366179232,1.226398458003296,3.5690036992967404,-58.4355156767736,2.97867255979086,1,,1
9,40.49057404540211,0.0741063047603281,26.880402854329773,47.870756232589656,53.96655331256514,-78.66563274475118,1.226398458003296,3.5690036992967404,-0.943640820602625,452.026369177683,1,,1
10,49.298533169383845,0.0935931470300367,23.805502494548563,26.73952376067805,78.2405060675143,-65.31652909588547,1.226398458003296,3.5690036992967404,-0.795658339884315,578.722527100115,1,,1
11,22.434251809991945,0.158916023495281,26.31593741136105,39.05064165160664,-47.35587863096269,-24.86799374955102,1.226398458003296,3.5690036992967404,-11.1362961066977,79.712106934492,1,,1
12,-6.876415414464812,0.0355575901295832,4.900728743126265,0.8733503947477459,-64.70521067767616,22.34090649449203,1.226398458003296,3.5690036992967404,-207.199936118224,0.219000631088821,1,,-1
13,-18.88540136580718,0.106327880093471,1.4871888819054817,7.7118408276343615,-88.43789373908967,29.807894592148983,1.226398458003296,3.5690036992967404,-358.620242768932,0.187740810104588,1,,-1
14,-16.233427738937245,0.0968861169007945,-8.833638105145596,-4.1858986341448485,-46.00561651387305,40.26924638107221,1.226398458003296,3.5690036992967404,-238.222798735473,0.434408042125289,1,,-1
15,49.10312763677226,0.0752178477267539,22.39321430129138,26.3358423184398,93.673412482407,-73.107323762109,1.226398458003296,3.5690036992967404,-0.55797997781905,613.202944434345,1,,1
