,V,fitness,AH3,AF3,AF5,A3N3,AD5,s,tau,lambda1,lambda2,taquiónico,type
0,-0.6203608908992613,0.697698478415432,4.334054580205688,42.6792569385982,29.93835004822563,-48.37487967191249,11.937574567288166,2.207605765924382,2.41508007668732,0.49872563372939,2.64718003754819,0,-1
1,-4.0351179191779964,0.300440830376302,8.362907640819685,-2.538561958459212,38.86078716483584,-80.16219842337722,53.683226406177226,2.207605765924382,2.41508007668732,0.579861838668179,1.31538694320504,0,-1
2,-3.0068772424970542,0.266010098091008,6.989233815368934,-13.192845950980868,45.87308548859045,-64.5468732540851,36.74769151536466,2.207605765924382,2.41508007668732,0.137068698007123,1.73846321158328,0,-1
3,-1.5277076468086428,0.181240107237236,10.981083374331632,21.260226044363066,14.788006133740694,-58.458301054191786,24.32245058005236,2.207605765924382,2.41508007668732,0.338770219821195,1.36075877641404,0,-1
4,-2.6026329992205124,0.709591833127825,2.564304342553257,21.938819726581443,66.80500811148903,-73.53964561388364,28.430713290186816,2.207605765924382,2.41508007668732,0.380552741690328,2.97863603085543,0,-1
5,-5.213390318655949,0.264809149376431,1.71785284292811,-56.81693296124703,25.71988759679671,-48.36334931023093,69.58801733209017,2.207605765924382,2.41508007668732,0.0417855863501307,0.047051697332179,0,-1
6,-2.0982145522217266,0.762645939100383,8.720389527791681,43.90443268998931,68.9192457256004,-93.03303452973452,20.12641021093809,2.207605765924382,2.41508007668732,0.773903643508652,2.84346584537396,0,-1
7,1.3570862206944336,0.430738402173859,18.173222196872477,94.11545828201042,24.625553930473743,-79.41392471533234,-10.996939576130089,2.207605765924382,2.41508007668732,1.01243086791261,3.3928635883185,0,1
8,-2.874236692623269,0.0552496002942649,12.037369298938302,21.41602700243584,58.40997950056379,-95.32074533865624,33.78583539950043,2.207605765924382,2.41508007668732,0.597696571163602,2.42121986141905,0,-1
9,-4.677829256488425,0.419247532767432,-2.371467983767104,-68.9882388446279,58.97966211336808,-42.751590656445806,54.97254579582173,2.207605765924382,2.41508007668732,-0.283758177504299,1.33046395181626,1,-1
10,3.9708468102734114,0.696283494422465,7.375997476037142,82.08937506361195,6.406419077233295,-11.98431524587977,-45.15713414696858,2.207605765924382,2.41508007668732,0.563651344697998,3.01898872997726,0,1
11,-3.052127994893979,0.321793271157876,15.898541949981905,40.7521075072674,13.601745303362492,-94.2688713804211,44.895203920399865,2.207605765924382,2.41508007668732,0.519716236265491,1.11895728918,0,-1
12,3.104663720436126,0.341166841383158,6.426207984305108,89.25502103222328,-1.6812720601285776,-18.3130888379565,-34.274188848167114,2.207605765924382,2.41508007668732,0.667240685340133,2.17893520715314,0,1
13,-0.8618539806038601,0.131294380997852,20.046322648611152,73.34976247509974,25.72941518414858,-99.7124657196826,13.632624029972447,2.207605765924382,2.41508007668732,0.729054701053741,2.22590148165383,0,-1
14,-0.7323692210203521,0.100897649616638,16.388930891493175,73.13992926904828,11.078409612900543,-82.76298008046234,10.144054060838243,2.207605765924382,2.41508007668732,0.459363767405962,1.2026108526914,0,-1
15,-0.0777752900091528,0.349331091444268,14.343522045970827,83.13103164471713,22.78522339911359,-80.22040807746936,4.880145235872234,2.207605765924382,2.41508007668732,1.1448314258698,2.16988174772499,0,-1
16,1.341538034973912,0.216296175812398,13.948788683991808,90.49939997501288,-14.84598907146541,-50.001779594295535,-9.916221090899626,2.207605765924382,2.41508007668732,0.694873387060467,1.08118992529398,0,1
17,-2.7238579338855238,0.131588483304947,5.534671134627175,3.1962248764759664,40.05995829090901,-62.1419473603664,33.905215327134584,2.207605765924382,2.41508007668732,0.424017835827085,1.47691241507113,0,-1
18,-2.8349285650076816,0.233785877402516,12.15518257566059,31.11870838797969,30.33924326218309,-86.4844390029107,34.0057864106918,2.207605765924382,2.41508007668732,0.470846272902373,0.870451559656349,0,-1
19,-0.8793504847476882,0.81939442661558,4.386543425779294,18.521411926109764,56.47708250363559,-53.30664943698973,16.04609694135324,2.207605765924382,2.41508007668732,0.419303401646041,4.30672493001259,0,-1
20,-0.8050153393920082,0.502468147635492,3.61094891322891,38.459135360215896,52.93332972645516,-57.28403353929748,8.88558082605664,2.207605765924382,2.41508007668732,0.487921972765236,3.2150567812494,0,-1
21,-2.573531498393556,0.465759778341436,19.969813062387985,30.61129999217289,21.89785515840255,-98.51119874862384,39.91571070053013,2.207605765924382,2.41508007668732,0.119229433683123,2.28605254978108,0,-1
22,0.8196697655703642,0.442944535155315,14.897815965256813,74.92306519559907,-19.555384927540658,-49.325568524271176,0.9417252594417818,2.207605765924382,2.41508007668732,0.651849563404247,1.16463817080752,0,1
23,0.1270171901779558,0.346690646877192,5.886744607462347,48.34776738782404,3.550338340854637,-34.47775068900029,3.479924996098177,2.207605765924382,2.41508007668732,0.461100790248941,1.33005092763904,0,1
24,-4.5399209601206945,0.56075960428324,12.460701611210794,-9.85199205342893,12.701344764153705,-80.61185869816674,65.7359118834363,2.207605765924382,2.41508007668732,-0.0663529344376559,0.874881332745449,1,-1
25,-4.167704629389269,0.385494376089501,12.09712653148152,-14.157819992283535,44.07050272322937,-88.155878884335,56.24818589350807,2.207605765924382,2.41508007668732,0.178004512504709,2.03604784180147,0,-1
26,-3.651077073736399,0.561401797478698,8.594179741166812,-15.617286409922343,-2.769718002825812,-52.31570972316701,55.61161736874055,2.207605765924382,2.41508007668732,-0.393951886938571,0.514713057470082,1,-1
27,-4.815806539924927,0.218007015957535,4.750597079663123,-27.896028069543704,71.86128002132372,-84.2863725085543,57.61596456835514,2.207605765924382,2.41508007668732,0.290225045766994,2.30128165157566,0,-1
28,-5.80304700685586,0.23771842432141,1.4330750387849776,-73.06841494982035,47.52967966896267,-57.169815238615584,71.8067134845443,2.207605765924382,2.41508007668732,-0.245970285201292,0.555125237557964,1,-1
29,1.545160672982092,0.42686030291551,7.597314488979421,63.19707909401816,-14.797192012153571,-21.18889197452277,-17.897140969152517,2.207605765924382,2.41508007668732,-0.0753830914840293,0.631341681639866,1,1
30,0.4268774760605236,0.0386255268438009,9.964431232721395,48.80767903437044,7.152282310597968,-42.92158800327294,-3.4316257217255526,2.207605765924382,2.41508007668732,0.464923347837816,1.13786875843109,0,1
31,-4.785670876360653,0.284822417924049,-0.9567828216116964,-44.19191090602248,42.46228936870037,-50.11367705605996,55.72027905965391,2.207605765924382,2.41508007668732,-0.277478674163546,0.372158158239616,1,-1
32,-3.644422457367337,0.414890862393075,1.06888915646239,-23.171329749769782,53.98543462842264,-56.65098666146747,42.477270620674375,2.207605765924382,2.41508007668732,0.135566237428028,1.57875641394679,0,-1
