,V,fitness,AH3,AF3,AF5,A3N3,s,tau,lambda1,lambda2,taquiónico,type
0,31.959253403506818,0.10225700135933,23.072504595128905,36.38596008530223,16.14243341789208,-46.752283474906974,1.226398458003296,3.5690036992967404,-1.57266036603256,295.380541352513,1,1
1,39.38259685931419,0.0934765500926372,15.58716611409723,22.7656518961942,71.94697433583843,-48.03072122742466,1.226398458003296,3.5690036992967404,-0.149693910009819,484.070347584458,1,1
2,50.692232864124286,0.110565292620324,42.83094599235781,60.81065035715318,18.016770044604385,-91.08785591665836,1.226398458003296,3.5690036992967404,-4.19740256465107,452.454847613446,1,1
3,52.99167074109836,0.147218355677925,24.640284251843923,34.352340543215206,85.48788535398572,-69.52614174128689,1.226398458003296,3.5690036992967404,-0.537067269310329,625.151448969078,1,1
4,60.63343745980495,0.101346895501213,32.128553499408696,36.1633565475652,94.27638107144172,-89.8295706447739,1.226398458003296,3.5690036992967404,-1.27239368232324,707.563382792199,1,1
5,45.93729201315272,0.0494643849874154,33.67464868105259,55.52875808365599,54.71837500375844,-95.62620637974295,1.226398458003296,3.5690036992967404,-1.7173754139522,498.206796461793,1,1
6,42.303837330709065,0.063835160797791,24.53119558587187,35.51716877974317,58.74355587153565,-67.37040758785324,1.226398458003296,3.5690036992967404,-0.897625535852228,477.384700312599,1,1
7,40.71841594737754,0.0591043693717207,31.7091763968094,53.36473711545369,38.54071645812195,-84.44047252996776,1.226398458003296,3.5690036992967404,-1.91816460932609,418.679616576212,1,1
8,41.518380886678365,0.0449052300896474,21.76929905651544,36.36341599705494,76.84640742991215,-73.96011396917243,1.226398458003296,3.5690036992967404,-0.360888786364543,513.165915593715,1,1
9,53.899701981686114,0.083703741722179,38.20847012644211,49.81997186654655,50.12915505842514,-91.77864501806836,1.226398458003296,3.5690036992967404,-2.56992354972914,551.660365564614,1,1
10,41.40537052455289,0.0555925788468454,21.99147731605315,39.02775045515847,76.71721867421886,-75.6027049094461,1.226398458003296,3.5690036992967404,-0.302076213229771,511.965245525868,1,1
11,46.07501884586437,0.084423886924132,34.38854497558873,49.44552057685195,34.59035150504798,-79.80329121507472,1.226398458003296,3.5690036992967404,-2.44676801433519,452.563757342467,1,1
12,40.37655485480399,0.162675888398937,36.19846664364647,43.15276551109386,-8.976760500252581,-59.48651220671059,1.226398458003296,3.5690036992967404,-5.15423307441136,307.218727328645,1,1
13,41.071336047539475,0.0796765283172036,16.140380309584373,26.3889624776632,98.06080865090772,-69.19847347847109,1.226398458003296,3.5690036992967404,0.0058361533157078,558.875120793721,0,1
14,45.62002687054186,0.0860872858028725,30.739381104431004,37.30916621438192,40.50429143735096,-69.04038874330584,1.226398458003296,3.5690036992967404,-2.05897119427649,462.161580427316,1,1
15,16.152805926718727,0.109301200956336,4.769207142490672,0.8843229140940423,33.15387286002402,-14.507664196889491,1.226398458003296,3.5690036992967404,-0.16657528928358,207.015212099308,1,1
16,42.52543320807393,0.0902012165093538,46.56073734654754,72.94295889945755,-17.364688041826582,-94.01318292154464,1.226398458003296,3.5690036992967404,-7.83448821045002,308.032000472495,1,1
17,51.88035411447311,0.100191801947656,41.35519282468829,59.26760074435822,30.73059605553388,-93.56376768952948,1.226398458003296,3.5690036992967404,-3.42516648137796,491.01865875617,1,1
18,32.30594030894219,0.0825156955918011,22.804440211762625,39.09083367917802,31.653794963114365,-58.561849270229246,1.226398458003296,3.5690036992967404,-1.12286499067263,334.232502712112,1,1
19,36.127870109036245,0.0719798245288785,26.768940693315173,39.969483717156095,24.47856195668857,-60.05689003875977,1.226398458003296,3.5690036992967404,-1.87151779742641,348.624325285305,1,1
20,48.301182996747265,0.0710000782624296,23.68751236631452,41.34524587254538,95.17601056640106,-84.63662051629473,1.226398458003296,3.5690036992967404,-0.219879750511832,610.357551837725,1,1
21,51.3207940123632,0.048104346068809,32.00730158941403,41.84501812842089,70.8763132701252,-89.08626287391738,1.226398458003296,3.5690036992967404,-1.51375954182787,578.620266367658,1,1
22,7.863607780923966,0.0885303166891074,-3.289622461830973,-6.133284036408895,36.32322279788596,-1.653674566636283,1.226398458003296,3.5690036992967404,-0.239742282500237,148.238087598939,1,1
23,60.779202379216805,0.0902836216437536,34.67028618948382,43.07112207943823,89.09972301900748,-96.34661452280424,1.226398458003296,3.5690036992967404,-1.44699678976055,696.894052982469,1,1
24,43.76928704366559,0.0900618903688954,31.678678400470066,39.21494184419368,30.13805812178441,-67.88795855534411,1.226398458003296,3.5690036992967404,-2.46920923300519,423.477556658079,1,1
25,46.15551062293424,0.0268428763230144,28.19680491310595,46.98643623530336,81.89336177801133,-95.43813405051677,1.226398458003296,3.5690036992967404,-0.760450143272055,562.682602043441,1,1
26,29.135137908829048,0.10639863707179,19.952636020453014,42.547552424606494,35.74340286276538,-58.535699233212334,1.226398458003296,3.5690036992967404,-0.516238913386255,318.025985722928,1,1
27,34.75072296553346,0.0624485109590127,20.10781092995988,33.54992852190804,49.97859851213698,-57.81745835573789,1.226398458003296,3.5690036992967404,-0.558179358312739,396.127573094511,1,1
28,40.908107527313206,0.0627444695990347,28.14722503234336,46.71637824880662,48.496679715267874,-77.63319995270352,1.226398458003296,3.5690036992967404,-1.27190982690394,442.797284491535,1,1
29,38.27105266197208,0.0906239658549515,18.749926531042988,28.84135153778601,77.35502870397215,-67.48100015020272,1.226398458003296,3.5690036992967404,-0.292548163728814,488.20545386992,1,1
30,47.64374632507456,0.0796403138102177,37.51798384940244,58.22792440459386,36.1240807912055,-91.78998489951722,1.226398458003296,3.5690036992967404,-2.69253837455123,469.141185264287,1,1
31,35.99547534785279,0.119295589083664,39.39686856315828,71.15963532202204,-8.925460064584769,-86.8719034383812,1.226398458003296,3.5690036992967404,-5.69687389072294,273.595775849717,1,1
32,31.803845597220977,0.085918789234038,24.696796649016008,38.77813278893538,15.531747288274644,-53.00836078005519,1.226398458003296,3.5690036992967404,-1.89728566449661,293.08642761059,1,1
