comp_1,comp_2,comp_3,target
229.47727260843124,301.0603499841069,-47.13289043573008,3
57.22864752271426,380.39857572713504,-388.7227135465905,3
-421.24456069974684,-383.8578797991852,159.41828507153323,1
-584.0726813373483,189.5671724860921,467.88307260497993,2
16.168296567981695,-153.01632088617157,-149.50494660828042,0
168.00277422201793,-145.60013220059935,-233.24757944394872,2
187.29648541918257,-146.24358318209838,-184.2415472847802,3
310.2080500555288,100.94572655456973,-47.55843754022649,3
305.2165691956176,-6.441792381520809,-265.36274993491367,1
283.73771000061305,-12.266479448302045,-142.21086865663318,3
-58.49822344506812,-165.46918338524884,-163.68555627287213,0
130.83630768497403,-106.63163760744503,-141.4652069567533,1
-470.0854096631742,-30.344564611038376,222.7004820309173,0
-476.7301834948121,55.324890254153246,341.6768076850425,0
-289.30207333865263,-188.02175299267714,-64.78548259812351,0
-156.39209629806263,1406.039923781516,58.60191285944145,2
102.31724730484557,-105.66962615504063,-187.67253134156405,1
-271.3627087393259,-54.259345676053826,-18.66945046735957,2
381.5708667615043,121.4037189610087,179.38844823789398,3
-393.17507785203327,-234.5312410916291,-6.559588767954045,0
-533.7099904136146,-48.04606411323712,261.07895123968376,0
-277.5170689020542,-146.46101830219754,-1.6320797114279506,0
17.14721687982547,-100.91126405169454,-150.6486788512854,2
12.920959454975325,375.604264023735,57.36787776793639,3
-202.29813279513303,-162.1231236998657,-67.90169012686148,0
405.5001870176032,281.84167524623274,30.671153632993402,3
287.9675370624436,-62.305226096458135,108.79313269601683,1
-381.21304853821994,457.3587366529693,310.88701797422743,2
65.19903595044342,-114.62517082716374,-243.81822919402487,0
705.7415414840633,201.83636722272414,233.00314937783983,3
-457.32516638801656,-78.89950153058656,130.93440363705946,0
845.3464533907674,33.2542056225014,38.9103698503888,1
-241.77114034276943,-65.63203309470964,35.63713720939976,2
458.5048874746982,-47.361334413873216,-206.85402062912843,3
-265.6754908600404,28.327580649150295,64.3744209221496,2
676.4712830345651,272.63218389524974,-16.51946828421227,2
156.38875487824666,-85.60207920329674,-128.7067828835064,3
-360.2032209514383,-513.6070522320363,-63.20960757729697,0
141.47013744006927,98.07008383402842,-120.89421346107069,3
855.4797872188849,450.9484157554826,591.6908949858425,3
282.2406647338741,-209.79836826327346,-238.0646861287076,1
-280.12027063308767,201.44035131456704,196.7031752502171,2
-538.1452384249365,-36.69896738912534,206.21188442096357,0
-429.50093250503187,-84.0705107647154,123.71227927201815,0
-165.73439944415924,-132.36805412085712,130.37366195447999,1
-73.67410740391665,-152.07989846353868,-188.78291720169486,0
247.37905933844857,44.678741952059866,-34.95222993800403,3
-838.8247101939867,-435.06447160039806,401.4789448650839,0
-516.012877018116,-316.35321488526193,61.35444361969376,0
530.3192080847233,136.16024303409336,-202.3541755716727,3
259.35910033354475,45.17085855437704,74.29624932082612,3
-179.48626975858997,-91.13642293299982,-66.4008748093972,0
257.19494486163984,20.518123594540086,-6.165818451921533,1
32.80093347151699,-68.63798535661512,-115.22910822079082,1
-271.7134617516157,-44.88526652714077,28.75983773280815,2
-675.7481514402738,-44.54375334309077,363.7034715717753,0
225.93197865350692,3.911048985003958,-144.6885169222521,3
198.28606321467157,-50.94544117232892,-227.3762011559365,3
145.47894104885347,167.08441884583158,-29.650638451421607,2
246.8455845174018,-113.0609504397528,-323.2706692469837,0
120.40110575756928,59.64947875248815,112.10705420557731,1
-445.46744448068375,29.7069119585365,285.2092637992463,2
-80.1471577791601,-228.79592600524296,-220.12525238921742,1
613.5681889494073,199.86958477551943,54.03723460800558,3
-231.39937742412965,386.9119151839222,154.0005662457745,2
-231.28155442192138,-21.27562326543385,-73.72116243676092,2
72.52597149501302,19.26900210258899,-163.17681764201487,3
-504.48649292474505,61.42482397442148,313.3268270194762,2
500.48132644699047,134.15815103316137,54.83034585070715,3
-14.403536415060396,-96.57693200467939,-142.47573773109303,2
-1.2450123633920072,-453.6101110968105,452.54803472540914,1
-673.0880407813046,-238.4495248221858,288.0711426463554,0
-275.3033482365162,-104.06996925502493,198.34525571660015,1
174.56120941437672,-28.376474888344063,-84.63977521295612,3
176.88442756087807,-57.00161839047704,-168.97314436556923,3
151.81005893934787,67.0765503502046,105.66430356792843,1
-181.21302169004002,295.46446410855793,83.7521110486475,2
495.14583315011373,-483.1145667057354,-108.27610488347237,1
-552.915341518485,86.44534918135302,355.43236306796075,2
-493.11759771511595,-171.4963432305037,130.2740539308972,0
451.72738253512404,-6.845273249600803,-377.8829766131961,3
312.80050678112457,141.00843414506912,40.026322275719636,3
133.25312712838158,-67.47255311416971,-139.31440605127176,3
-430.1170956651128,-8.78507645588489,246.44999343239755,2
-240.79431734090718,-50.554624416999,39.41759767221351,2
-408.48008583980936,-38.334500876347704,73.79892104586379,0
