comp_1,comp_2,comp_3
-0.011244468233634246,-0.01568834148244813,0.006416813738040696
-0.011244468266525268,-0.015637231633383417,-0.022982753462316506
-0.011244481977254549,0.01299356419059799,-0.006725628353176536
-0.011244483112626857,0.015369456803616564,0.009640462380438737
-0.011244474316819452,-0.002995149745753333,-0.003681457577661585
-0.011244469321000419,-0.01342884527274563,-5.5560727085675e-05
-0.011244472211447767,-0.007391464981199131,-0.006626384883430983
-0.01124447153948059,-0.008789741828712382,0.0019392746311122208
-0.011244464802203154,-0.022858705476110703,0.008635617215208826
-0.011244476244359872,0.0010272802371429856,-0.0076594851403535575
-0.011244474985633173,-0.0016005267554286952,-0.005975140325859168
-0.011244473081823143,-0.005573949013175783,-0.0030070834935707795
-0.011244481802487669,0.012632162687638561,0.0016604393167288431
-0.011244484716218599,0.01871061001966278,-0.008847297583798685
-0.011244477745060521,0.004161028187801501,0.0007747162177151526
-0.011244464304503328,-0.02389478523988282,0.028722075961487833
-0.011244479590971449,0.008013002657569098,-0.01042376821756211
-0.011244474839692107,-0.001901774334839058,0.007074324071879977
-0.011244472922510414,-0.00590034229278899,0.008761113173234462
-0.011244481070309066,0.011101293214012922,-0.0066074474486593916
-0.011244483241397325,0.015635598655915614,0.00047094223146890455
-0.0112444801177336,0.009111984751429424,-0.007691395791386767
-0.011244475324174209,-0.0008949196603195927,-0.00843327178442445
-0.011244470339971196,-0.011288979539408208,0.016511528626332577
-0.011244478328652207,0.005377826327033269,-0.0060345414122055414
-0.011244468362510291,-0.015416862667155208,0.011486409190417326
-0.011244473166077594,-0.005398222716633876,0.009077012286822159
-0.011244482946679887,0.015030650024736837,0.028246516608377164
-0.011244471680307438,-0.008501507583651867,-0.0027709827671893237
-0.011244471942059912,-0.007945140843251949,0.011226810546240203
-0.0112444787764355,0.006316909100814945,0.010269724492779343
-0.01124448501464107,0.019383832312662382,0.0651538175488137
-0.011244480435151505,0.009774758715300877,-0.00869628528777548
-0.011244469793658087,-0.012438198680549455,-0.00522086243300859
-0.0112444751313361,-0.0012921611884380317,0.011219952645236002
-0.01124446492371649,-0.022591990654566504,0.015119757056482712
-0.011244472917260833,-0.0059175693097593875,-0.005356630850014013
-0.01124447907359418,0.006932377543711419,-0.006022503859235521
-0.011244470177784856,-0.011632569122515377,0.005197420546877283
-0.011244491419071048,0.03271598736096756,0.09180678395652342
-0.011244470338944759,-0.011301412453295842,-0.008815105780168923
-0.011244477840316885,0.004364106308701268,0.008064072294148558
-0.01124448058842275,0.010099046130165504,0.006147468931021937
-0.011244480609739666,0.01014252319893331,0.0029592463469216867
-0.01124447767857541,0.004023069667369031,-0.0009357041247813761
-0.01124447552767856,-0.0004744719579481902,-0.023151155642588496
-0.011244471342383,-0.009201930574569616,0.0033622083788904284
-0.011244488156725286,0.025898581959756417,0.007232100681069531
-0.01124448254579906,0.014185949907236543,0.006730281189310517
-0.011244464155865242,-0.02420183212171817,-0.0012420532503179098
-0.011244475773231876,4.5314417495132914e-05,-0.002591900830953648
-0.011244475724068212,-5.7494856645505625e-05,0.0005610193371309935
-0.011244472911009605,-0.0059298831343268564,0.001313345205808462
-0.01124447381991091,-0.00403337687840085,-0.003500852051897583
-0.01124447528565903,-0.0009714338808899882,0.008021250470880908
-0.011244484831952202,0.018957387053653844,0.004610461282636975
-0.01124447193808312,-0.007962020516673796,-0.003994321767756413
-0.011244467167415841,-0.017921144254983146,0.008139395173610613
-0.011244471911265234,-0.008013490660151824,0.004000925101169658
-0.01124446641256741,-0.019505410985733187,-0.0015054844605518689
-0.011244474981846423,-0.001605420147563297,0.004716306940813695
