,V,fitness,AH3,AF3,AF5,A3N3,AD5,s,tau,lambda1,lambda2,taquiónico
0,26.9581635233086096548049681587,414.670713125000,2.333312060119866,14.048522863280425,7.012194733992146,-5.5317188216990445,-21.46714487237078,0.9316945763866101,0.7810969925286316,29.4946951207913,173.989853545063,0
1,-26.6543348112625295698308036663,735.207647021574,31.94591678676059,4.920436889599841,24.088440339367992,-80.88751817052528,21.802708692661838,0.9343396618232216,0.8667158739296169,27.4768523984049,220.192521204724,0
2,32.8647997222564853814219532069,173.596649365190,-2.7907803938256563,16.399999030178392,61.71745794289549,-67.44861156945814,-43.858007170040715,0.9596124377457502,0.48897254812157187,84.9995714300203,414.294818662975,0
3,-17.6965271559750121355136798229,93.4497029565371,22.792470990313944,14.874085891273126,11.9163067178456,-65.4088174340352,10.83438939402133,0.9684460540540039,0.8978619114100689,4.53429405520174,56.9463393249347,0
4,107.708621617341123055666685104,2597.92001436328,53.23323644425378,54.55980460071643,7.359392656360313,-47.12881128621026,-78.42060384778617,0.8709892373194423,0.8327339407204445,135.385886543687,457.926056565774,0
5,47.2617947266701605713024036959,798.182734001184,24.141230224815885,37.21115795565288,68.97669931815824,-87.46969147573974,-73.86652097580888,0.9856780206493276,0.9153110545559526,24.7780740369235,469.473289167577,0
6,-69.6992931748758195453774533235,2621.84489168861,3.5495384657582747,-24.90250946204216,40.29991030983234,-80.50924391491068,72.65938554490953,0.9500279667247078,0.9888213066674683,3.59154565379188,317.097016684966,0
7,68.2107120090829397440757020377,1520.31932123843,-12.780983004013692,33.55614686557064,28.27386978767646,-14.21936346849185,-62.42683034201748,0.8745048336261714,0.8690280985107564,19.7979071916598,544.780391057478,0
8,24.1350210230319746074201248121,85.1398422794981,59.44793215618486,50.723725712437584,4.346738517687413,-91.58368563953425,-27.691222769174487,0.9833609283437066,0.859206101115649,52.8575578245664,139.748559799717,0
9,22.1145342445890626947857526829,513.114810910039,-24.83776089964205,7.617954367408714,56.151703600018664,-51.36617102525225,-28.91161331843182,0.9819362667542658,0.32757747101232937,45.3997932320615,339.452841507627,0
10,-46.5935962267019974092363554519,1714.52672803665,46.70021757812566,-1.7877681164738277,-16.5047744222486,-8.295413154174739,15.311410924820336,0.9643335911327056,0.08740079046154536,-475.869692293323,-159.575288223212,1
11,6.01032335888177726701542269439,1768.72133419545,-3.045565135700045,12.314851804621824,54.615713439202295,-66.89927294758841,-20.64827174420047,0.8868581159737133,0.9846334108542848,13.2868759697798,679.138759854878,0
12,-6.27791252730614601773595495615,2021.94268216664,3.587319771596455,24.550511537460835,50.80629738413123,-97.58997346699093,-13.25817393075053,0.9781951362685387,0.656052745763069,45.4503455727973,337.227035334040,0
13,11.6214081840976053427993974765,272.320184650666,8.858670464725463,12.84938362305543,23.278085073173855,-39.233501940220364,-22.426600809947757,0.9717552448762972,0.6314400845944579,47.2231407215136,94.8882284785726,0
14,-43.5706288000224759571210597642,161.927418879519,-0.6426831435198892,-3.4139165952221617,46.80161978600245,-78.62844287315285,16.26487812791781,0.9346308409294432,0.5102168567045681,12.5944190177054,235.374027708988,0
15,16.2271207977531375377111544367,238.088966518458,48.861177373680135,48.98134418237555,6.2222505721933885,-89.13801756777852,-14.821401044637625,0.980497130142227,0.9327504282863173,110.599331817042,115.412585421743,0
16,119.306464788698377788023208268,2652.83344218609,86.69511519701615,71.82162231059857,-44.364899417192746,-24.419254526110535,-67.29309199287312,0.9216850245541638,0.6609196441553843,30.3546046306475,491.817603992173,0
