,V,fitness,V_O,s,tau,AF3,AF3_O,AH3,AH3_O,A3N3,A3N3_O,AF5,AF5_O,AD5,AD5_O,lambda1,lambda1_O,lambda2,lambda2_O,taquiónico,taquiónico_O
0,0.0006265226301361917,1.7007528666997443e-09,-1.0696e-06,4.121352885726401,32.50711697721612,-93.11864291106292,0.04666375081316705,0.9409118708002556,-0.02699790686773754,-16.066200750400952,0.32075506405016824,-100.0,-0.4020895572028637,21.143311583836763,-0.08730053535036258,-1.5890301100187848e-06,-2.7697e-07,1.5897662496043926e-06,7.7046e-09,1,1.0
1,0.0005808553869566628,1.1616918529326555e-09,-1.0696e-06,4.121352885726401,32.50711697721612,-76.06745595659739,0.04666375081316705,0.8488192461689925,-0.02699790686773754,-9.96687714195296,0.32075506405016824,-100.0,-0.4020895572028637,17.074986274921923,-0.08730053535036258,-2.072589326096737e-06,-2.7697e-07,2.0725420195860156e-06,7.7046e-09,1,1.0
2,0.00022406060682944037,1.7531582383057788e-09,-1.0696e-06,4.121352885726401,32.50711697721612,-65.41803000079705,0.04666375081316705,0.9318345296012663,-0.02699790686773754,-24.564180286519523,0.32075506405016824,36.85255328947194,-0.4020895572028637,15.36769698802467,-0.08730053535036258,-1.5547902841115515e-06,-2.7697e-07,1.5540034157071049e-06,7.7046e-09,1,1.0
3,0.0004663210378499853,1.1050836180726482e-09,-1.0696e-06,4.121352885726401,32.50711697721612,-77.4848585815435,0.04666375081316705,2.1012688778166684,-0.02699790686773754,-25.811191109759804,0.32075506405016824,100.0,-0.4020895572028637,17.409550309275577,-0.08730053535036258,-4.888499507281738e-06,-2.7697e-07,4.888565546520118e-06,7.7046e-09,1,1.0
4,0.0002178243249155063,2.500054523629345e-09,-1.0696e-06,4.121352885726401,32.50711697721612,-67.41721916671032,0.04666375081316705,1.788308377277218,-0.02699790686773754,-29.02184849275793,0.32075506405016824,26.66855531710076,-0.4020895572028637,15.906062824528725,-0.08730053535036258,-3.5940774637001304e-06,-2.7697e-07,3.5988309595645376e-06,7.7046e-09,1,1.0
5,0.0006723762841375598,1.7345876050692705e-09,-1.0696e-06,4.121352885726401,32.50711697721612,-75.99296107252344,0.04666375081316705,1.5803499441167648,-0.02699790686773754,-8.935423385647795,0.32075506405016824,-100.0,-0.4020895572028637,16.74718465501299,-0.08730053535036258,-4.441201872056618e-06,-2.7697e-07,4.441462571224968e-06,7.7046e-09,1,1.0
6,0.00042840055810259875,1.7109931978726688e-09,-1.0696e-06,4.121352885726401,32.50711697721612,-55.85175703687694,0.04666375081316705,2.193205243063655,-0.02699790686773754,-13.037744176179839,0.32075506405016824,-100.0,-0.4020895572028637,12.58432937223769,-0.08730053535036258,-5.227778595820026e-06,-2.7697e-07,5.2277980198886314e-06,7.7046e-09,1,1.0
7,7.442204559331297e-05,5.0732475628792655e-09,-1.0696e-06,4.121352885726401,32.50711697721612,-30.996230518369707,0.04666375081316705,2.235515421362205,-0.02699790686773754,-21.175558604812238,0.32075506405016824,47.433434797760654,-0.4020895572028637,7.327974715097606,-0.08730053535036258,-5.362173870840293e-06,-2.7697e-07,5.3606737342942414e-06,7.7046e-09,1,1.0
8,0.00028246601202158586,1.2792658167195413e-09,-1.0696e-06,4.121352885726401,32.50711697721612,-92.22436184513518,0.04666375081316705,1.9353113632027719,-0.02699790686773754,-34.846586307973766,0.32075506405016824,-100.0,-0.4020895572028637,22.08565758442893,-0.08730053535036258,-4.216596769781874e-06,-2.7697e-07,4.2190008642408245e-06,7.7046e-09,1,1.0
9,0.00044696041535951923,1.4988551797131798e-09,-1.0696e-06,4.121352885726401,32.50711697721612,-73.29904057013627,0.04666375081316705,0.3842918671511004,-0.02699790686773754,-16.06982486691134,0.32075506405016824,35.48455722994579,-0.4020895572028637,16.568830277875314,-0.08730053535036258,-1.1494439030639595e-06,-2.7697e-07,1.1500053915503802e-06,7.7046e-09,1,1.0
10,0.00035890327073992206,3.5138711572776016e-09,-1.0696e-06,4.121352885726401,32.50711697721612,-76.27459893146221,0.04666375081316705,-0.07836550541748366,-0.02699790686773754,-20.467896405179662,0.32075506405016824,79.21749804177576,-0.4020895572028637,17.514782056376717,-0.08730053535036258,-1.5215565147575841e-06,-2.7697e-07,1.5209129770336637e-06,7.7046e-09,1,1.0
11,0.0005197292256208577,7.248089138026885e-10,-1.0696e-06,4.121352885726401,32.50711697721612,-78.71900373967014,0.04666375081316705,1.049726332316991,-0.02699790686773754,-14.743908573014714,0.32075506405016824,-97.28995082640668,-0.4020895572028637,17.932855542977876,-0.08730053535036258,-1.7523111815400485e-06,-2.7697e-07,1.752407488164096e-06,7.7046e-09,1,1.0
12,0.0008215737104041308,3.143769923500236e-09,-1.0696e-06,4.121352885726401,32.50711697721612,-90.14375136771307,0.04666375081316705,0.8431334614473402,-0.02699790686773754,-7.8721916407966805,0.32075506405016824,-15.971083552651207,-0.4020895572028637,19.577455457694224,-0.08730053535036258,-4.582401689077687e-06,-2.7697e-07,4.582993054811532e-06,7.7046e-09,1,1.0
13,0.00023242047131036636,5.588502056830814e-10,-1.0696e-06,4.121352885726401,32.50711697721612,-72.24624603965212,0.04666375081316705,2.1119025163437284,-0.02699790686773754,-28.72032658236554,0.32075506405016824,-100.0,-0.4020895572028637,17.307029928436705,-0.08730053535036258,-4.573290496761983e-06,-2.7697e-07,4.5739337735521e-06,7.7046e-09,1,1.0
14,0.00010570562096671112,3.6673840694341133e-09,-1.0696e-06,4.121352885726401,32.50711697721612,-86.79364104423217,0.04666375081316705,2.8717727180976826,-0.02699790686773754,-49.01843758226892,0.32075506405016824,100.0,-0.4020895572028637,20.935678373965942,-0.08730053535036258,-6.434732464030875e-06,-2.7697e-07,6.440299651011975e-06,7.7046e-09,1,1.0
15,0.0003300100440961411,7.276898382798121e-10,-1.0696e-06,4.121352885726401,32.50711697721612,-32.86444405796804,0.04666375081316705,0.07051148057555845,-0.02699790686773754,-1.5787995612238674,0.32075506405016824,34.88902276605364,-0.4020895572028637,6.95225609787926,-0.08730053535036258,-2.237351709669475e-06,-2.7697e-07,2.2375349656245643e-06,7.7046e-09,1,1.0
16,0.00035440138997465994,9.261889515330926e-10,-1.0696e-06,4.121352885726401,32.50711697721612,-27.19212680344569,0.04666375081316705,0.2739978534204175,-0.02699790686773754,-0.41311728205065945,0.32075506405016824,100.0,-0.4020895572028637,5.333664100384267,-0.08730053535036258,-3.497977470680996e-06,-2.7697e-07,3.4981216517102052e-06,7.7046e-09,1,1.0
17,0.00016114542113753865,4.513808221389895e-09,-1.0696e-06,4.121352885726401,32.50711697721612,-61.33242881630505,0.04666375081316705,3.0759821521016564,-0.02699790686773754,-34.84069427940791,0.32075506405016824,57.873366303344646,-0.4020895572028637,14.527582999431363,-0.08730053535036258,-7.0286698492915855e-06,-2.7697e-07,7.0323793796986765e-06,7.7046e-09,1,1.0
18,0.0003056218973253554,2.478102172846948e-09,-1.0696e-06,4.121352885726401,32.50711697721612,-74.02466517713742,0.04666375081316705,0.2927859729564286,-0.02699790686773754,-18.81995435527449,0.32075506405016824,-100.0,-0.4020895572028637,17.50033158321053,-0.08730053535036258,-1.8207478922440699e-06,-2.7697e-07,1.8227501483467204e-06,7.7046e-09,1,1.0
19,0.0002368400205233159,6.379179366791961e-10,-1.0696e-06,4.121352885726401,32.50711697721612,-47.650654145753215,0.04666375081316705,0.4245039725311872,-0.02699790686773754,-10.43362162885171,0.32075506405016824,-100.0,-0.4020895572028637,11.201076136077624,-0.08730053535036258,-8.159125189758186e-07,-2.7697e-07,8.157519411279826e-07,7.7046e-09,1,1.0
20,0.0004147458730906021,2.1497782683847354e-09,-1.0696e-06,4.121352885726401,32.50711697721612,-70.08116534146171,0.04666375081316705,1.442229674333333,-0.02699790686773754,-19.67161077732103,0.32075506405016824,6.944437640145186,-0.4020895572028637,15.939391997318372,-0.08730053535036258,-2.8967395290080683e-06,-2.7697e-07,2.900294761826378e-06,7.7046e-09,1,1.0
21,0.00014126377205948783,4.205498109084687e-09,-1.0696e-06,4.121352885726401,32.50711697721612,-59.20464038156556,0.04666375081316705,0.8673787540543305,-0.02699790686773754,-26.707221619386285,0.32075506405016824,100.0,-0.4020895572028637,13.984158002512872,-0.08730053535036258,-1.6048876873813463e-06,-2.7697e-07,1.612994551908506e-06,7.7046e-09,1,1.0
22,0.0003036538987937312,5.217039318796286e-10,-1.0696e-06,4.121352885726401,32.50711697721612,-72.78389106450945,0.04666375081316705,1.5824274100369748,-0.02699790686773754,-28.67706361457992,0.32075506405016824,100.0,-0.4020895572028637,16.795634305889966,-0.08730053535036258,-2.9527818273850914e-06,-2.7697e-07,2.9535682761410175e-06,7.7046e-09,1,1.0
23,0.00013520121727872664,6.307155852960998e-10,-1.0696e-06,4.121352885726401,32.50711697721612,-75.58173048892957,0.04666375081316705,1.6807928825603136,-0.02699790686773754,-32.92081112449867,0.32075506405016824,-91.8724608010969,-0.4020895572028637,18.445368485946613,-0.08730053535036258,-4.431706886130468e-06,-2.7697e-07,4.432498350170324e-06,7.7046e-09,1,1.0
24,0.0005017916756797055,1.246669791387449e-09,-1.0696e-06,4.121352885726401,32.50711697721612,-57.659588499187926,0.04666375081316705,0.6463185293006948,-0.02699790686773754,-7.1447511573294875,0.32075506405016824,14.819825356223758,-0.4020895572028637,12.552217091180156,-0.08730053535036258,-2.9363401161740996e-06,-2.7697e-07,2.9367910510331523e-06,7.7046e-09,1,1.0
25,0.0003050443972938999,2.9447028196986107e-09,-1.0696e-06,4.121352885726401,32.50711697721612,-71.47774217959963,0.04666375081316705,2.54012809450057,-0.02699790686773754,-26.95572065376419,0.32075506405016824,-100.0,-0.4020895572028637,16.872179846890724,-0.08730053535036258,-5.456029373940704e-06,-2.7697e-07,5.4600712048769414e-06,7.7046e-09,1,1.0
26,0.0003596317326064802,4.0541648696044337e-10,-1.0696e-06,4.121352885726401,32.50711697721612,-89.2729099529464,0.04666375081316705,1.5374141777144188,-0.02699790686773754,-28.485120184129478,0.32075506405016824,-100.0,-0.4020895572028637,21.093289524871658,-0.08730053535036258,-2.8756202507974595e-06,-2.7697e-07,2.8761047169269705e-06,7.7046e-09,1,1.0
27,5.878435867212156e-06,5.538391885144878e-10,-1.0696e-06,4.121352885726401,32.50711697721612,-50.63853315423876,0.04666375081316705,1.516511303021185,-0.02699790686773754,-27.115673601708394,0.32075506405016824,-72.05766113808183,-0.4020895572028637,12.665652980942797,-0.08730053535036258,-4.344467324204298e-06,-2.7697e-07,4.344839699480657e-06,7.7046e-09,1,1.0
28,0.0005582130607880368,8.967943199261102e-10,-1.0696e-06,4.121352885726401,32.50711697721612,-100.0,0.04666375081316705,2.2563041872014074,-0.02699790686773754,-30.255769890445332,0.32075506405016824,5.897818985812384,-0.4020895572028637,22.86449823303445,-0.08730053535036258,-4.481533641539801e-06,-2.7697e-07,4.481984258369637e-06,7.7046e-09,1,1.0
29,0.0006429664694518363,1.6106677145929629e-09,-1.0696e-06,4.121352885726401,32.50711697721612,-79.637281897969,0.04666375081316705,1.7600483729016136,-0.02699790686773754,-14.15094259227451,0.32075506405016824,-38.821727840341474,-0.4020895572028637,17.625574415673636,-0.08730053535036258,-4.673659822746964e-06,-2.7697e-07,4.673854014279681e-06,7.7046e-09,1,1.0
30,0.0001759792708548939,1.2660451284504672e-09,-1.0696e-06,4.121352885726401,32.50711697721612,-92.6484602004832,0.04666375081316705,1.3116478525592818,-0.02699790686773754,-37.13584974802153,0.32075506405016824,-100.0,-0.4020895572028637,22.55018552176003,-0.08730053535036258,-4.458148302349032e-06,-2.7697e-07,4.458732810371598e-06,7.7046e-09,1,1.0
31,0.00023661442371456157,1.3856646910778364e-09,-1.0696e-06,4.121352885726401,32.50711697721612,-34.3393139717023,0.04666375081316705,0.5151565446820546,-0.02699790686773754,-8.705836357344442,0.32075506405016824,55.99873909933256,-0.4020895572028637,7.591312005420263,-0.08730053535036258,-1.544016979525181e-06,-2.7697e-07,1.546391880503002e-06,7.7046e-09,1,1.0
32,0.0004202725133970549,1.5285749906099881e-09,-1.0696e-06,4.121352885726401,32.50711697721612,-95.67100786957764,0.04666375081316705,2.3456329294367917,-0.02699790686773754,-34.4914744632673,0.32075506405016824,-2.9502768540723388,-0.4020895572028637,22.277347169371687,-0.08730053535036258,-4.5199560215189385e-06,-2.7697e-07,4.522448020970991e-06,7.7046e-09,1,1.0
33,1.1884029065093631e-05,3.1486005175277535e-09,-1.0696e-06,4.121352885726401,32.50711697721612,-92.15357733383568,0.04666375081316705,1.5892463993076327,-0.02699790686773754,-49.88830801468306,0.32075506405016824,84.69170846497124,-0.4020895572028637,22.6106946370951,-0.08730053535036258,-5.226519891725199e-06,-2.7697e-07,5.230652006833729e-06,7.7046e-09,1,1.0
34,0.0003732461742161914,1.7553743750353517e-09,-1.0696e-06,4.121352885726401,32.50711697721612,-83.68824060087739,0.04666375081316705,0.48208950619005475,-0.02699790686773754,-24.433565819827276,0.32075506405016824,36.42850747918915,-0.4020895572028637,19.388992443041815,-0.08730053535036258,-4.6755642668346897e-07,-2.7697e-07,4.68392262566601e-07,7.7046e-09,1,1.0
35,0.0005554201869940262,1.6511072470146055e-09,-1.0696e-06,4.121352885726401,32.50711697721612,-81.42396927432453,0.04666375081316705,2.0240287310239147,-0.02699790686773754,-21.74325048787046,0.32075506405016824,35.14704927482238,-0.4020895572028637,18.214911136324424,-0.08730053535036258,-4.8384370164147155e-06,-2.7697e-07,4.839292320880084e-06,7.7046e-09,1,1.0
36,0.0004594525224517783,2.5716863863112684e-09,-1.0696e-06,4.121352885726401,32.50711697721612,-84.75273261553347,0.04666375081316705,1.3938802073995216,-0.02699790686773754,-21.473222711649104,0.32075506405016824,-100.0,-0.4020895572028637,19.63761943797452,-0.08730053535036258,-2.2046187109667767e-06,-2.7697e-07,2.209135361103707e-06,7.7046e-09,1,1.0
37,0.00048763954501621824,2.8109835451800418e-09,-1.0696e-06,4.121352885726401,32.50711697721612,-50.53259071572544,0.04666375081316705,1.3588761233854072,-0.02699790686773754,-8.412761505816938,0.32075506405016824,52.13567369254392,-0.4020895572028637,10.760477742825625,-0.08730053535036258,-4.68256905665183e-06,-2.7697e-07,4.685182075214662e-06,7.7046e-09,1,1.0
38,4.191033432454473e-05,1.1688813157944031e-09,-1.0696e-06,4.121352885726401,32.50711697721612,-64.87168026966836,0.04666375081316705,0.8483699933705551,-0.02699790686773754,-30.07603466950605,0.32075506405016824,-38.22424800200942,-0.4020895572028637,16.000013183305903,-0.08730053535036258,-3.82120728806529e-06,-2.7697e-07,3.821033018991619e-06,7.7046e-09,1,1.0
39,0.00038225957197155294,2.770340951170958e-09,-1.0696e-06,4.121352885726401,32.50711697721612,-68.32475565016362,0.04666375081316705,1.9672127936492254,-0.02699790686773754,-24.799601535797304,0.32075506405016824,100.0,-0.4020895572028637,15.426524720960833,-0.08730053535036258,-4.4697055526520955e-06,-2.7697e-07,4.473559729973645e-06,7.7046e-09,1,1.0
40,0.0002751789830048634,6.553146264910426e-10,-1.0696e-06,4.121352885726401,32.50711697721612,-52.43381965227387,0.04666375081316705,1.6921835376758547,-0.02699790686773754,-20.320326565278762,0.32075506405016824,66.45805127838057,-0.4020895572028637,11.919986542670753,-0.08730053535036258,-3.7912113000226676e-06,-2.7697e-07,3.7912917793768614e-06,7.7046e-09,1,1.0
41,0.0005047611646270497,2.356588056803021e-09,-1.0696e-06,4.121352885726401,32.50711697721612,-83.98031941366975,0.04666375081316705,1.3544942557937893,-0.02699790686773754,-23.052038766430936,0.32075506405016824,62.53187892325559,-0.4020895572028637,18.96473235437785,-0.08730053535036258,-2.8177018805681636e-06,-2.7697e-07,2.8211419773867604e-06,7.7046e-09,1,1.0
42,0.0004590075959534592,1.3880444850864707e-09,-1.0696e-06,4.121352885726401,32.50711697721612,-74.84380696824877,0.04666375081316705,1.2310186332779622,-0.02699790686773754,-20.20098006668563,0.32075506405016824,54.18424426757219,-0.4020895572028637,16.873229606853744,-0.08730053535036258,-2.63670823781775e-06,-2.7697e-07,2.638410704464351e-06,7.7046e-09,1,1.0
43,0.00019902552533258565,8.688904516178951e-10,-1.0696e-06,4.121352885726401,32.50711697721612,-58.684389834097395,0.04666375081316705,1.9391241969077373,-0.02699790686773754,-28.34983457845908,0.32075506405016824,100.0,-0.4020895572028637,13.657821408183633,-0.08730053535036258,-4.103148150570295e-06,-2.7697e-07,4.1038578260143935e-06,7.7046e-09,1,1.0
44,0.00018496909159998462,1.921910272567177e-09,-1.0696e-06,4.121352885726401,32.50711697721612,-63.14682620567682,0.04666375081316705,2.1930508379108855,-0.02699790686773754,-27.016565947996103,0.32075506405016824,-100.0,-0.4020895572028637,15.214763653513113,-0.08730053535036258,-4.902391887915844e-06,-2.7697e-07,4.905197917325854e-06,7.7046e-09,1,1.0
