,V,fitness,s,tau,AF3,AH3,A3N3,AF5,AD5,lambda1,lambda2,taquiónico,type
0,0.0035353303370826,3.723758573030787e-06,1.600149459561681,3.485910062937601,-0.5721340484841524,0.0325716262747887,-0.6916172597015686,0.5627320331307097,0.6676091723151505,-0.0002217052371805,0.0002209127231884,1,1
1,0.0032413429916217,6.571704150322196e-06,1.600149459561681,3.485910062937601,-1.025717629203981,0.0092171010457372,-1.3063485973147428,1.720937262134408,1.0679279585788906,-0.0009207429031376,0.0009216005967993,1,1
2,0.0104989871976355,5.4923912652695234e-05,1.600149459561681,3.485910062937601,-4.397927391549301,0.3425280935904961,-7.016608750187808,8.049792062143679,4.981434787451563,-0.0029650993034304,0.0029611415917621,1,1
3,0.0017797765792967,3.207925872085417e-06,1.600149459561681,3.485910062937601,-0.2298954897386613,-0.0277976356854841,-0.0648984395572238,0.1624308277216011,0.1909547922823523,-0.0007376141092047,0.0007394955030241,1,1
4,0.0020010748013028,1.720648935364135e-06,1.600149459561681,3.485910062937601,-0.5238082613682492,0.0098564953035214,-0.6647730249034277,0.7985841593828782,0.5637141233571431,-0.0002864464938125,0.0002868298982699,1,1
5,0.0005022320685052,2.8485636407094417e-06,1.600149459561681,3.485910062937601,-0.0571396088524743,-0.0113153335651654,-0.0093345298663793,0.0272905839679644,0.0518946763268635,-0.0002216557442564,0.0002268632457165,1,1
6,0.0024537439728459,2.002089408624236e-06,1.600149459561681,3.485910062937601,-0.3740538324650075,0.0255263879119774,-0.4905845798763648,0.3300271767850737,0.4693619172826201,-0.0005115855142467,0.0005119680151743,1,1
7,0.002014385495323,3.235583463456026e-06,1.600149459561681,3.485910062937601,-0.3385168110251105,0.0102941345409013,-0.388993892264464,0.3532357101194151,0.384879165617197,-0.0001105860961104,0.0001151480882187,1,1
8,0.0026989285606269,1.69939283548261e-06,1.600149459561681,3.485910062937601,-0.2600651292808209,0.02308214335347,-0.2018402844137178,0.015344417232151,0.2963159580171854,-0.000220704778164,0.0002202751011492,1,1
9,0.011829389666563,3.3197599787455244e-05,1.600149459561681,3.485910062937601,-2.782283015034113,0.199046494807301,-3.917450989959809,3.939618245995765,3.190198815201372,-0.0012990228095329,0.0013130378581586,1,1
