,V,fitness,s,tau,AF3,AH3,A3N3,AF5,AD5,lambda1,lambda2,taquiónico,type
0,40.853140096392494,838918.1900514791,3.019357154622817,1.8232075802162504,48.87785204520695,57.39769522083114,-25.7795191014222,11.250082952555148,100.0,0.7203016126056383,138.3151960302776,0,1
1,9.92362684027507,266113.127544308,3.019357154622817,1.8232075802162504,100.0,-0.2650290959929364,-33.95006774331262,-17.545347915543843,91.87847831796476,0.5258400574239861,22.127135196079948,0,1
2,10.977082539436672,633211.0957827538,3.019357154622817,1.8232075802162504,38.94843306254148,6.051182282678767,-97.19917546800914,100.0,100.0,1.397557187154305,48.996298636488845,0,1
3,26.186901428166685,428500.27772735787,3.019357154622817,1.8232075802162504,51.25565870897332,42.88065582936885,-41.308649664618855,-39.07281408908784,96.51295358751288,0.9016180895082258,74.65668710761108,0,1
4,31.494094631975905,377680.8446281332,3.019357154622817,1.8232075802162504,33.032804984060455,35.77259858522429,-30.60849555258032,47.34160526404501,98.52598778702796,1.1246204647840583,111.96486629385262,0,1
5,5.716762155312177,305403.2384033329,3.019357154622817,1.8232075802162504,38.19754954372751,2.3856688586789083,-77.44417446203715,52.266884277984026,81.80586832058684,0.9251966200278828,22.16210227976108,0,1
6,70.50189088347103,441235.070952144,3.019357154622817,1.8232075802162504,100.0,100.0,-25.13138620235697,72.2820252724155,100.0,0.4964130061556773,259.4776459211856,0,1
7,17.723183341750328,288720.8649477653,3.019357154622817,1.8232075802162504,5.343042349103484,24.23139170499128,-59.65051766166867,66.86153964915877,71.36610526177233,0.5438321222388041,69.87038833660927,0,1
8,14.029525973168376,238715.57140298575,3.019357154622817,1.8232075802162504,7.351119384731436,9.146400496985471,-77.5805014106791,100.0,100.0,1.1358401796382154,59.89856630482708,0,1
9,36.37968718936291,637347.2435371928,3.019357154622817,1.8232075802162504,57.96864327866677,50.63059157036045,-1e-20,-53.41801042013127,100.0,0.968529948149289,107.94151340732864,0,1
10,10.731205977425374,330085.3181876102,3.019357154622817,1.8232075802162504,-44.283040202402375,13.512379813915418,-63.79779411502926,45.57073064933523,100.0,0.4032954389160466,36.24997578817911,0,1
11,39.92574089287746,816147.9593910587,3.019357154622817,1.8232075802162504,47.60364476928433,59.1501447193782,-34.3338078687896,14.1451731250598,95.46581925194056,0.5331606886943945,136.29029136510582,0,1
12,47.019462412927375,614882.2049496861,3.019357154622817,1.8232075802162504,100.0,42.24967804603112,-1e-20,100.0,89.3438008099408,1.946721484090588,180.51607660193872,0,1
13,40.85177833215919,374225.1167550805,3.019357154622817,1.8232075802162504,100.0,49.951847821138486,-25.584425190344128,20.998515167136944,100.0,1.8261758333575384,139.94058635263116,0,1
14,53.249063919273205,954616.1366559068,3.019357154622817,1.8232075802162504,84.88545002429966,58.55812720622792,-2.5962092021057828,100.0,84.3449680806006,1.31793125247043,204.02654642673923,0,1
15,34.13517356526025,896869.0830177702,3.019357154622817,1.8232075802162504,100.0,16.155084848691146,-1e-20,100.0,90.24935807061011,2.139563374600144,133.70678855928065,0,1
