,V,fitness,V_O,s,tau,AF3,AF3_O,AH3,AH3_O,A3N3,A3N3_O,AF5,AF5_O,AD5,AD5_O,lambda1,lambda1_O,lambda2,lambda2_O,taquiónico,taquiónico_O
0,0.0713885549841989,0.0007513267566126779,-0.00075008,1.1211449964209517,4.787338469101568,-19.475954842415625,0.43913298725279304,4.265106053984994,0.30964749216644233,-32.91794121826635,-0.9344652059288237,31.681690922701822,0.9688171878719583,22.61048949837976,-0.04309202562538599,-0.01372868995687556,0.00036588,0.013942117062376448,0.0051962,1,0.0
1,0.06384245017982203,0.00045892919421629974,-0.00075008,1.1211449964209517,4.787338469101568,-13.115193401273848,0.43913298725279304,2.343232584794206,0.30964749216644233,-17.259990904379634,-0.9344652059288237,9.247740420098815,0.9688171878719583,15.197359797970044,-0.04309202562538599,-0.006347421436839383,0.00036588,0.0064700608619231124,0.0051962,1,0.0
2,0.11692882373367688,0.0024820502180500515,-0.00075008,1.1211449964209517,4.787338469101568,-43.11481704242796,0.43913298725279304,8.754329697281216,0.30964749216644233,-83.14892842042886,-0.9344652059288237,100.0,0.9688171878719583,50.19869569148446,-0.04309202562538599,-0.026492332788475903,0.00036588,0.026528485908833048,0.0051962,1,0.0
3,0.05403458178569483,0.0003329549450347442,-0.00075008,1.1211449964209517,4.787338469101568,-10.471963357197387,0.43913298725279304,2.8287693371012024,0.30964749216644233,-13.836810738246397,-0.9344652059288237,1.565760987709355,0.9688171878719583,12.392193409055839,-0.04309202562538599,-0.010098216905397639,0.00036588,0.010138993049421667,0.0051962,1,0.0
4,0.07431177047592376,0.001525958428745102,-0.00075008,1.1211449964209517,4.787338469101568,-35.3526087316146,0.43913298725279304,7.0142045496010095,0.30964749216644233,-73.95230919022194,-0.9344652059288237,100.0,0.9688171878719583,41.078979787359245,-0.04309202562538599,-0.020972709795641007,0.00036588,0.02097112420601469,0.0051962,1,0.0
5,0.5228419404591635,0.04666240430492184,-0.00075008,1.1211449964209517,4.787338469101568,-88.56923586132437,0.43913298725279304,15.463369259760343,0.30964749216644233,-100.0,-0.9344652059288237,59.30150210023626,0.9688171878719583,100.0,-0.04309202562538599,-0.050131469543636974,0.00036588,0.07434613934372764,0.0051962,1,0.0
6,0.0787033241068135,0.0016883683233057181,-0.00075008,1.1211449964209517,4.787338469101568,-36.41717989891809,0.43913298725279304,6.9867614102677775,0.30964749216644233,-75.22624127116082,-0.9344652059288237,99.24795158580426,0.9688171878719583,42.47907454731749,-0.04309202562538599,-0.020058572105232042,0.00036588,0.020080865950641055,0.0051962,1,0.0
7,0.0510532210633928,0.0004301922838502596,-0.00075008,1.1211449964209517,4.787338469101568,-15.496547208447673,0.43913298725279304,3.541048554552102,0.30964749216644233,-27.915813329747685,-0.9344652059288237,29.862114655824794,0.9688171878719583,17.96916962029615,-0.04309202562538599,-0.011875895484573119,0.00036588,0.011944489979437416,0.0051962,1,0.0
8,0.028149480650596137,0.00046855050188234675,-0.00075008,1.1211449964209517,4.787338469101568,-18.24737506858499,0.43913298725279304,3.8591548238767586,0.30964749216644233,-41.21479171118712,-0.9344652059288237,58.66625129629706,0.9688171878719583,21.29194513494849,-0.04309202562538599,-0.011944550428093014,0.00036588,0.012046623189124445,0.0051962,1,0.0
9,0.03935181239855071,0.0008084366444160072,-0.00075008,1.1211449964209517,4.787338469101568,-24.011591718035735,0.43913298725279304,4.945410897570769,0.30964749216644233,-53.53989228539711,-0.9344652059288237,76.75517221563463,0.9688171878719583,27.921434946752,-0.04309202562538599,-0.015082936568312668,0.00036588,0.01530562372619105,0.0051962,1,0.0
10,0.07319695882617255,0.0009520396038176042,-0.00075008,1.1211449964209517,4.787338469101568,-25.386881967530524,0.43913298725279304,5.59445050534509,0.30964749216644233,-48.077910026850326,-0.9344652059288237,51.69123557116422,0.9688171878719583,29.850365270251967,-0.04309202562538599,-0.01782050086268909,0.00036588,0.01784368687548133,0.0051962,1,0.0
11,0.04362312649086521,0.0009925783288922802,-0.00075008,1.1211449964209517,4.787338469101568,-28.506986349925604,0.43913298725279304,5.634470058957993,0.30964749216644233,-64.2393307690038,-0.9344652059288237,96.93853272011967,0.9688171878719583,32.852312146555676,-0.04309202562538599,-0.017637688265404704,0.00036588,0.017604158171311876,0.0051962,1,0.0
12,0.0774593470076203,0.0006610851129080932,-0.00075008,1.1211449964209517,4.787338469101568,-16.896943279163786,0.43913298725279304,3.3366198282708046,0.30964749216644233,-23.4807520689892,-0.9344652059288237,7.675834352217117,0.9688171878719583,20.18307530589439,-0.04309202562538599,-0.011016571886009229,0.00036588,0.011019582151172535,0.0051962,1,0.0
13,0.07851633297537655,0.0005275302366106379,-0.00075008,1.1211449964209517,4.787338469101568,-10.467889355844514,0.43913298725279304,2.7830839554685394,0.30964749216644233,-6.805722075479174,-0.9344652059288237,-22.700940074574813,0.9688171878719583,12.76556966482491,-0.04309202562538599,-0.010995884407443677,0.00036588,0.010980109549688376,0.0051962,1,0.0
14,0.06170007234666825,0.0009283743767658469,-0.00075008,1.1211449964209517,4.787338469101568,-26.510954106955207,0.43913298725279304,5.598229277433962,0.30964749216644233,-54.26768365172144,-0.9344652059288237,71.81052041193922,0.9688171878719583,30.68471919683655,-0.04309202562538599,-0.017957256490313517,0.00036588,0.017938988660416905,0.0051962,1,0.0
15,0.0697799154535769,0.000613509560001972,-0.00075008,1.1211449964209517,4.787338469101568,-14.785754828510969,0.43913298725279304,3.3159671492534537,0.30964749216644233,-20.44717058847039,-0.9344652059288237,4.267697749809942,0.9688171878719583,17.75172362587204,-0.04309202562538599,-0.011495923722905654,0.00036588,0.011692181837672986,0.0051962,1,0.0
