,V,fitness,AH3,AF3,AF5,A3N3,AD5,s,tau,lambda1,lambda2,taquiónico
0,-75.3442149967873291416253778152,1431.73177176187,-23.619966073304013,-30.50762490763536,18.43144441773778,-28.94468617987495,56.446082967285776,0.9670844531861936,0.7543323290293167,-130.369702625680,-59.0310571175686,1
1,30.6781298726426712164538912475,704.547993810757,48.82622816632863,37.60335262685717,7.516928495752666,-62.78655592609614,-30.78785282421552,0.9975657703021981,0.8897203260929448,49.2711563064804,169.386613600584,0
2,-41.6502112242590882829063048121,218.969371901045,7.168240694093569,-15.314534869840628,13.027116614293604,-42.800849134133834,45.616893052773094,0.9692330182601315,0.981710157212229,0.231065462721762,60.3030745718632,0
3,-82.0105897008931918890084489249,755.304285220854,-17.830916038845075,-47.33965630142423,3.38292457225846,-0.9127739796200842,74.68269886789324,0.9703130493577825,0.7352640851895647,-206.884127296433,-63.6241158207952,1
4,35.7248780866644182196978363208,1532.47412815587,66.12361036307811,56.05490841251506,-22.972477480261034,-66.93635871269265,-13.900450844909614,0.9527407657588505,0.8718824355818875,64.5408569725631,179.064634567787,0
5,64.9354125916250666250562062487,1196.15029652889,36.11936713338878,43.5478681588196,0.31225364706919834,-24.440175677598475,-52.97098634787027,0.9882970343751287,0.7134781209180706,134.162036426495,240.998233668252,0
6,45.8649200785934496593654330354,1461.36080453285,32.199469272453854,76.12639804350741,-4.201821187533696,-64.64871778247344,-42.36406521408944,0.9757870762843911,0.934216498097194,15.0901772064067,256.701379528836,0
7,104.066489274537588016755762510,391.182331042410,54.966577431062774,26.610989293237125,77.26990387054059,-81.84262462542327,-80.35030342324141,0.9916945988464745,0.2990591801538576,528.119084770716,838.935756882801,0
8,64.7051885027368030023353639990,591.762131213024,39.370189829656,64.50334935385666,16.071579610742262,-71.48266744681912,-69.70458201258462,0.977016494012946,0.752048329070115,94.1042585563806,298.500278926707,0
9,41.6788042001800036473468935583,26.2744532193720,68.81568487664885,61.313234752564824,-1.7029470828836537,-93.71240755293121,-39.91801889451316,0.956320951687058,0.7910422095723658,46.2714179056557,225.767414490786,0
10,28.3165553632591624477754521649,59.3943992006991,55.02132522926357,63.05278493311519,0.7031331173331239,-91.6833470561174,-31.959440652280108,0.9871110147247312,0.9852270982146053,53.8993342947720,113.639496393698,0
11,-124.127649127772002657366101630,1054.54886911169,8.652765026099573,-22.770113001966052,32.49937545248358,-92.12721930628686,74.67811067861888,0.9521561963523729,0.430589886446172,-194.486591097137,1.58771959920834,1
12,-49.3655867353768229577326565050,2754.46199748461,-27.568855570345335,-20.94514197066448,14.387801637490199,-13.76408814158468,32.186799735631496,0.985309565144485,0.8684705139992601,-179.416799264096,-13.1702293960122,1
13,-40.9115151641731245035771280527,280.696954624244,-9.812352062613812,-17.886804737046845,14.894533171702022,-20.223238332751066,31.336757539245355,0.9998427342678173,0.6033562938271765,-95.2455781661443,-3.12695466258491,1
14,-6.69641223819489539437199709937,39.5882707247176,40.951163073780805,30.346962820376405,18.171647731398693,-95.42499316838325,-2.3951446430480416,0.9368053234568401,0.8421577023243686,92.6855514576156,120.539656639627,0
15,48.6561256616419797182970796712,886.466104371738,89.70217071788011,54.36530870070777,-0.14706505296172168,-93.24585257553915,-50.97825932605442,0.9862499523444179,0.7214333279751441,19.8491522345586,232.538568040349,0
16,98.5409326246080041755703859963,329.058516990857,11.665847585715412,38.01281997170159,25.276238426841672,-15.206741425398533,-84.00819310577079,0.9197193582214526,0.6722692966143125,104.737201119943,432.833144678410,0
17,61.1925024686658858286136819515,760.744717854517,72.22623185769515,66.59830182958413,-12.555289804616336,-68.52939138606204,-50.26785689190969,0.9990040240207022,0.7699614883085119,123.397195712114,227.839257941791,0
18,-137.033185693293063422970590182,5223.87007288021,-26.10296048326603,-40.608267799210694,5.106345041589137,-31.99308096785049,88.49702173540857,0.9450658343951335,0.5419381820238791,-460.934488044435,-217.429030713924,1
19,-45.2828337853692630687874043360,1644.94088567682,-15.784875427252672,-23.9756969725143,12.790814848748028,-9.174038969157536,29.063544112602244,0.9936383853223794,0.6272899215989454,-184.792402828173,-55.7733749479313,1
20,-22.3873700225509608685570128728,148.018271952007,-6.253607098009951,1.8235640866498102,56.35460244634376,-74.26557466750833,1.1687790430532345,0.9593971255133459,0.9770445125073132,2.28800123100743,301.904117817079,0
