,V,V_O,fitness,AH3,AH3_O,AF3,AF3_O,AF5,AF5_O,A3N3,A3N3_O,s,tau,lambda1,lambda1_O,lambda2,lambda2_O,taquiónico,taquiónico_O
0,50.3341729499533485382651795829,0.000396240000000000000000000000000,0.115313869469435,2.179202775861995,0.136293617582431198100000000000,4.765477215560111,0.163298793561839798100000000000,83.23602662224383,-0.380704323526129590500000000000,-20.375839847070182,-0.178381744374279226200000000000,1.09459567703448696180000000000,4.23036303017861858840000000000,0.0780614945617578,-0.000265690000000000000000000000000,891.290905810087,0.00328940000000000000000000000000,0,1
1,-19.5499101090864070744398388554,0.000396240000000000000000000000000,0.0127950925435285,0.2686796574239878,0.136293617582431198100000000000,2.377653095618797,0.163298793561839798100000000000,-41.316988573229985,-0.380704323526129590500000000000,10.408402702208747,-0.178381744374279226200000000000,1.09459567703448696180000000000,4.23036303017861858840000000000,-387.977580509461,-0.000265690000000000000000000000000,0.0481019863230828,0.00328940000000000000000000000000,1,1
2,-25.0742611995943562235773175569,0.000396240000000000000000000000000,0.0441376063527835,7.103227467738108,0.136293617582431198100000000000,3.8797411426636046,0.163298793561839798100000000000,-80.81555917823448,-0.380704323526129590500000000000,9.980721577248389,-0.178381744374279226200000000000,1.09459567703448696180000000000,4.23036303017861858840000000000,-627.353601918676,-0.000265690000000000000000000000000,0.408243652051471,0.00328940000000000000000000000000,1,1
3,-23.2404710690829265608281166455,0.000396240000000000000000000000000,0.0923056468962293,-13.63646018513775,0.136293617582431198100000000000,-3.820048283114218,0.163298793561839798100000000000,8.454597197643523,-0.380704323526129590500000000000,20.38685999553438,-0.178381744374279226200000000000,1.09459567703448696180000000000,4.23036303017861858840000000000,-197.428528900539,-0.000265690000000000000000000000000,3.91028133777842,0.00328940000000000000000000000000,1,1
4,-15.4224310691777352918543630215,0.000396240000000000000000000000000,0.0746793601214372,-12.16602169490541,0.136293617582431198100000000000,-1.0878055657418457,0.163298793561839798100000000000,18.02125841660491,-0.380704323526129590500000000000,15.033794079939454,-0.178381744374279226200000000000,1.09459567703448696180000000000,4.23036303017861858840000000000,-78.7696222789394,-0.000265690000000000000000000000000,8.10492050100438,0.00328940000000000000000000000000,1,1
5,-7.22358594469888448868879161071,0.000396240000000000000000000000000,0.0624763908030527,1.7570341510455307,0.136293617582431198100000000000,2.8423774261163715,0.163298793561839798100000000000,-38.94425985876278,-0.380704323526129590500000000000,18.00030197460964,-0.178381744374279226200000000000,1.09459567703448696180000000000,4.23036303017861858840000000000,-253.530633010522,-0.000265690000000000000000000000000,0.101245143859632,0.00328940000000000000000000000000,1,1
6,-19.8208584854740605431930867842,0.000396240000000000000000000000000,0.0630862700767381,-2.046056351415288,0.136293617582431198100000000000,2.3610979078233356,0.163298793561839798100000000000,-47.51923226167578,-0.380704323526129590500000000000,25.51538849683932,-0.178381744374279226200000000000,1.09459567703448696180000000000,4.23036303017861858840000000000,-419.588480900651,-0.000265690000000000000000000000000,0.0969296210643436,0.00328940000000000000000000000000,1,1
7,99.6802622600944955920094273761,0.000396240000000000000000000000000,0.138182043756598,22.97656038969795,0.136293617582431198100000000000,39.492018590716015,0.163298793561839798100000000000,84.57859840233792,-0.380704323526129590500000000000,-53.0753014436963,-0.178381744374279226200000000000,1.09459567703448696180000000000,4.23036303017861858840000000000,-0.557634747952115,-0.000265690000000000000000000000000,1393.09779513879,0.00328940000000000000000000000000,1,1
8,21.3066510362467507544496279298,0.000396240000000000000000000000000,0.0311627559209611,-1.616271419985324,0.136293617582431198100000000000,-4.34757658676898,0.163298793561839798100000000000,40.73338095321361,-0.380704323526129590500000000000,-1.404837463109331,-0.178381744374279226200000000000,1.09459567703448696180000000000,4.23036303017861858840000000000,-0.108016405331369,-0.000265690000000000000000000000000,402.878007157044,0.00328940000000000000000000000000,1,1
9,-38.5999013352199078219424169243,0.000396240000000000000000000000000,0.0564357903290852,-0.5661219577770709,0.136293617582431198100000000000,6.102847312523863,0.163298793561839798100000000000,-71.9653145635034,-0.380704323526129590500000000000,16.075354606020966,-0.178381744374279226200000000000,1.09459567703448696180000000000,4.23036303017861858840000000000,-721.330395738363,-0.000265690000000000000000000000000,0.127914395210185,0.00328940000000000000000000000000,1,1
10,43.2768623874740023258322701936,0.000396240000000000000000000000000,0.0796280278405036,-2.3968605810292303,0.136293617582431198100000000000,-3.7585617991577607,0.163298793561839798100000000000,83.65753074399288,-0.380704323526129590500000000000,-8.643053035908537,-0.178381744374279226200000000000,1.09459567703448696180000000000,4.23036303017861858840000000000,-0.101098829075822,-0.000265690000000000000000000000000,822.576191808263,0.00328940000000000000000000000000,1,1
11,-13.6363062524766150644240855508,0.000396240000000000000000000000000,0.111752989147648,2.4010398080693136,0.136293617582431198100000000000,7.234861162476264,0.163298793561839798100000000000,-57.50864290795354,-0.380704323526129590500000000000,22.787492996105854,-0.178381744374279226200000000000,1.09459567703448696180000000000,4.23036303017861858840000000000,-404.103664068210,-0.000265690000000000000000000000000,0.188810018075534,0.00328940000000000000000000000000,1,1
12,-28.8629269117491696494867623893,0.000396240000000000000000000000000,0.0924455700576345,-7.801832108289176,0.136293617582431198100000000000,-1.5900791957699028,0.163298793561839798100000000000,-53.53440001925305,-0.380704323526129590500000000000,44.43526811719508,-0.178381744374279226200000000000,1.09459567703448696180000000000,4.23036303017861858840000000000,-538.560550590061,-0.000265690000000000000000000000000,0.450415913610745,0.00328940000000000000000000000000,1,1
13,-13.8573267374287149823016604965,0.000396240000000000000000000000000,0.0272278312281774,4.652658964407337,0.136293617582431198100000000000,1.7062802451300882,0.163298793561839798100000000000,-62.55314496182061,-0.380704323526129590500000000000,18.887896777077472,-0.178381744374279226200000000000,1.09459567703448696180000000000,4.23036303017861858840000000000,-429.948304913318,-0.000265690000000000000000000000000,0.245320634414337,0.00328940000000000000000000000000,1,1
14,-4.58397217251125904319122860682,0.000396240000000000000000000000000,0.0738473241523852,1.5310099748084838,0.136293617582431198100000000000,5.491698487675748,0.163298793561839798100000000000,-22.685921905492364,-0.380704323526129590500000000000,6.938718086879987,-0.178381744374279226200000000000,1.09459567703448696180000000000,4.23036303017861858840000000000,-151.471461726974,-0.000265690000000000000000000000000,0.153796889686078,0.00328940000000000000000000000000,1,1
15,17.1944534093225224259900986514,0.000396240000000000000000000000000,0.130245870801045,-7.382472860453078,0.136293617582431198100000000000,3.5677085916345277,0.163298793561839798100000000000,63.48050000992839,-0.380704323526129590500000000000,-5.057134295962669,-0.178381744374279226200000000000,1.09459567703448696180000000000,4.23036303017861858840000000000,-0.464636745595679,-0.000265690000000000000000000000000,468.010278441489,0.00328940000000000000000000000000,1,1
16,-16.1967106370995929089328838873,0.000396240000000000000000000000000,0.0620362712880573,8.938198890273668,0.136293617582431198100000000000,5.977045504006412,0.163298793561839798100000000000,-82.66901162152824,-0.380704323526129590500000000000,15.058345069824682,-0.178381744374279226200000000000,1.09459567703448696180000000000,4.23036303017861858840000000000,-547.321600149389,-0.000265690000000000000000000000000,0.711003214403308,0.00328940000000000000000000000000,1,1
17,144.550026574757569879434743895,0.000396240000000000000000000000000,0.145248394457461,44.46231540720714,0.136293617582431198100000000000,46.90469292443754,0.163298793561839798100000000000,97.2127590644541,-0.380704323526129590500000000000,-98.4166756136635,-0.178381744374279226200000000000,1.09459567703448696180000000000,4.23036303017861858840000000000,-3.07299534810355,-0.000265690000000000000000000000000,1903.92115138455,0.00328940000000000000000000000000,1,1
18,120.632570722612674494915359613,0.000396240000000000000000000000000,0.130504750001418,42.20490327577852,0.136293617582431198100000000000,44.35458958996361,0.163298793561839798100000000000,33.651365471064,-0.380704323526129590500000000000,-61.56304687406868,-0.178381744374279226200000000000,1.09459567703448696180000000000,4.23036303017861858840000000000,-4.14169419961709,-0.000265690000000000000000000000000,1369.75404241721,0.00328940000000000000000000000000,1,1
19,-37.3907109992030174579269228749,0.000396240000000000000000000000000,0.0448938718587557,-6.080927408497743,0.136293617582431198100000000000,-2.411675736240454,0.163298793561839798100000000000,-77.12640226438288,-0.380704323526129590500000000000,47.718590856246465,-0.178381744374279226200000000000,1.09459567703448696180000000000,4.23036303017861858840000000000,-733.430681834660,-0.000265690000000000000000000000000,0.161970919119220,0.00328940000000000000000000000000,1,1
20,35.1693904483782593749462941971,0.000396240000000000000000000000000,0.0716139734313528,5.113303178522656,0.136293617582431198100000000000,-4.84473701213355,0.163298793561839798100000000000,26.441725872953796,-0.380704323526129590500000000000,1.4813868740621814,-0.178381744374279226200000000000,1.09459567703448696180000000000,4.23036303017861858840000000000,-0.363780979104180,-0.000265690000000000000000000000000,475.492648318196,0.00328940000000000000000000000000,1,1
21,124.969139301123249827300104426,0.000396240000000000000000000000000,0.100938818639559,35.444726658631595,0.136293617582431198100000000000,44.30741234272898,0.163298793561839798100000000000,81.72610064573456,-0.380704323526129590500000000000,-71.18666198484229,-0.178381744374279226200000000000,1.09459567703448696180000000000,4.23036303017861858840000000000,-2.01305365015531,-0.000265690000000000000000000000000,1634.66401685781,0.00328940000000000000000000000000,1,1
22,9.36314544769609611944395569084,0.000396240000000000000000000000000,0.0587949714209157,-1.574702102870802,0.136293617582431198100000000000,3.548165255852396,0.163298793561839798100000000000,28.4668562991574,-0.380704323526129590500000000000,-7.904343853604772,-0.178381744374279226200000000000,1.09459567703448696180000000000,4.23036303017861858840000000000,0.0107744040985430,-0.000265690000000000000000000000000,226.243365482688,0.00328940000000000000000000000000,0,1
23,10.4827253665887148500436457256,0.000396240000000000000000000000000,0.0837709936363298,14.038858629073417,0.136293617582431198100000000000,3.996436578157386,0.163298793561839798100000000000,-53.9903118967789,-0.380704323526129590500000000000,2.7381314568548873,-0.178381744374279226200000000000,1.09459567703448696180000000000,4.23036303017861858840000000000,-151.625935995430,-0.000265690000000000000000000000000,5.57521059067658,0.00328940000000000000000000000000,1,1
24,16.3362586419800017787798857185,0.000396240000000000000000000000000,0.0969317359616459,13.789185486409934,0.136293617582431198100000000000,8.425205661062705,0.163298793561839798100000000000,-25.65115427434648,-0.380704323526129590500000000000,-15.46584677871931,-0.178381744374279226200000000000,1.09459567703448696180000000000,4.23036303017861858840000000000,-13.2820118353999,-0.000265690000000000000000000000000,57.7585950834205,0.00328940000000000000000000000000,1,1
25,-7.60083599492877240827300605209,0.000396240000000000000000000000000,0.0895877670108089,10.25019940375222,0.136293617582431198100000000000,-2.693719086304199,0.163298793561839798100000000000,-99.234873145637,-0.380704323526129590500000000000,37.96529079139924,-0.178381744374279226200000000000,1.09459567703448696180000000000,4.23036303017861858840000000000,-538.567670866060,-0.000265690000000000000000000000000,0.823028586709126,0.00328940000000000000000000000000,1,1
