,V,V_O,fitness,AH3,AH3_O,AF3,AF3_O,AF5,AF5_O,A3N3,A3N3_O,AD5,AD5_O,s,tau,lambda1,lambda1_O,lambda2,lambda2_O,taquiónico,taquiónico_O
0,-0.431247226196121448044738512041,-0.000117130000000000000000000000000,0.0829846394809943,-4.6347609159285525,0.268442466227236679300000000000,4.537785403591684,-0.0397849749059725573000000000000,-75.07343181630634,1.63592151122898482000000000000,60.004237766097845,-1.78776421956490615900000000000,-13.36603334261413,0.615745654333057746400000000000,1.60014945956168097090000000000,3.48591006293760086760000000000,-45.4231981787773,0.00123830000000000000000000000000,-0.0129488357507225,0.00602760000000000000000000000000,1,0
1,-3.38004751362898947956483678884,-0.000117130000000000000000000000000,0.0290304113929333,5.010251122963979,0.268442466227236679300000000000,-28.032798423652366,-0.0397849749059725573000000000000,24.99299002686284,1.63592151122898482000000000000,-38.89125471787693,-1.78776421956490615900000000000,34.277238418942915,0.615745654333057746400000000000,1.60014945956168097090000000000,3.48591006293760086760000000000,-0.248458581675738,0.00123830000000000000000000000000,15.7153166879238,0.00602760000000000000000000000000,1,0
2,12.8502687472233190412894913595,-0.000117130000000000000000000000000,0.146517844547403,9.061242362783943,0.268442466227236679300000000000,71.84840500431767,-0.0397849749059725573000000000000,-11.618054114209684,1.63592151122898482000000000000,7.712292293976603,-1.78776421956490615900000000000,-40.738305694548856,0.615745654333057746400000000000,1.60014945956168097090000000000,3.48591006293760086760000000000,0.136103781275126,0.00123830000000000000000000000000,31.9423167520225,0.00602760000000000000000000000000,0,0
3,16.5563162101055706008951628506,-0.000117130000000000000000000000000,0.181451518907250,18.67304159462546,0.268442466227236679300000000000,72.08599634755356,-0.0397849749059725573000000000000,-17.183117010166143,1.63592151122898482000000000000,-7.199668766967491,-1.78776421956490615900000000000,-34.813190209235785,0.615745654333057746400000000000,1.60014945956168097090000000000,3.48591006293760086760000000000,-0.533207439889353,0.00123830000000000000000000000000,50.7398496552879,0.00602760000000000000000000000000,1,0
4,-2.65276987471904221947817170206,-0.000117130000000000000000000000000,0.228443417660155,4.964081235920517,0.268442466227236679300000000000,11.199754191490769,-0.0397849749059725573000000000000,-96.25361640070132,1.63592151122898482000000000000,28.766896046882948,-1.78776421956490615900000000000,-5.292881701601473,0.615745654333057746400000000000,1.60014945956168097090000000000,3.48591006293760086760000000000,-61.3632733205702,0.00123830000000000000000000000000,0.143173806147849,0.00602760000000000000000000000000,1,0
5,-10.3416660982905946141968398648,-0.000117130000000000000000000000000,0.0925169054351117,0.3896053622329987,0.268442466227236679300000000000,-24.559723802491646,-0.0397849749059725573000000000000,-66.56923647954488,1.63592151122898482000000000000,4.917847990776252,-1.78776421956490615900000000000,36.08132932522511,0.615745654333057746400000000000,1.60014945956168097090000000000,3.48591006293760086760000000000,-59.8036570177769,0.00123830000000000000000000000000,0.0861476910831420,0.00602760000000000000000000000000,1,0
6,10.3028699518947543598904599259,-0.000117130000000000000000000000000,0.165216801974859,21.09515501656776,0.268442466227236679300000000000,66.16734084163278,-0.0397849749059725573000000000000,16.2402130319187,1.63592151122898482000000000000,-60.45398341547896,-1.78776421956490615900000000000,-1.1881491010635443,0.615745654333057746400000000000,1.60014945956168097090000000000,3.48591006293760086760000000000,-0.184417961328187,0.00123830000000000000000000000000,56.2886510033422,0.00602760000000000000000000000000,1,0
7,11.8059619156763042367969966661,-0.000117130000000000000000000000000,0.0958513255451610,20.92853429554269,0.268442466227236679300000000000,67.52302550125268,-0.0397849749059725573000000000000,7.004430652934275,1.63592151122898482000000000000,-48.3318476553342,-1.78776421956490615900000000000,-12.944204200308747,0.615745654333057746400000000000,1.60014945956168097090000000000,3.48591006293760086760000000000,-0.443918312837698,0.00123830000000000000000000000000,52.4433385631781,0.00602760000000000000000000000000,1,0
8,-6.83725870760143931199611042624,-0.000117130000000000000000000000000,0.0494704097388092,9.734472202127023,0.268442466227236679300000000000,-34.10866296201493,-0.0397849749059725573000000000000,-20.15089322694854,1.63592151122898482000000000000,-39.56890063898057,-1.78776421956490615900000000000,47.49860365443354,0.615745654333057746400000000000,1.60014945956168097090000000000,3.48591006293760086760000000000,-15.8014028410466,0.00123830000000000000000000000000,1.08774557963134,0.00602760000000000000000000000000,1,0
9,-1.91752429032911878630250487294,-0.000117130000000000000000000000000,0.110300298055536,6.587727711206597,0.268442466227236679300000000000,24.523834444764987,-0.0397849749059725573000000000000,-96.66418812340984,1.63592151122898482000000000000,22.553736402480638,-1.78776421956490615900000000000,-6.148114062590864,0.615745654333057746400000000000,1.60014945956168097090000000000,3.48591006293760086760000000000,-58.6196679622083,0.00123830000000000000000000000000,0.311244635450147,0.00602760000000000000000000000000,1,0
