,V,fitness,AH3,AF3,AF5,A3N3,AD5,s,tau,lambda1,lambda2,taquiónico
0,-59.5088404526177896514127496630,337.182129233480,3.8744562735847836,-14.102777468467622,12.319995438360266,-41.096677885280776,40.22928452340034,0.8847528463501998,0.8191594617326929,-41.1222763422620,2.51138749081577,1
1,8.97585324323820188396894081961,1752.13439635244,25.984340993373607,9.583746817929438,11.976499848645176,-36.63983733452129,-0.04086771630926478,0.9877108988060334,0.8340876571980986,26.2778432021674,221.136380937990,0
2,63.1306126552644926164248317946,480.173426330930,24.239177804941576,52.114851319066474,49.81318173526523,-93.69946298829859,-70.13733943355828,0.9058294814224134,0.781477156964161,148.199137610285,582.099248702825,0
3,48.7067860509118446543652680703,980.523735447061,51.02788176081711,66.33581041767036,-19.104663613625746,-54.386509447002965,-33.769605843906675,0.9608233633007258,0.9930217867116583,82.3488771057951,125.835114006925,0
4,70.9321877820662081148839206435,235.579333805180,22.544062686890797,46.25455976084004,5.77048520036594,-14.239840519064145,-76.51926862116198,0.9534525472403124,0.9656869704136372,43.9859738021047,157.418526076999,0
5,-99.4914567661577251556082046591,973.835681316780,-31.19273991377753,-37.31252211127216,4.052865548232944,-14.240553190746141,80.32904420128978,0.980697229410805,0.5641975949664214,-205.276793775401,-154.074699592320,1
6,45.3513322709972186430604779162,1868.97557901068,51.246979378892746,38.6745091094312,19.18212683163061,-79.3440871535371,-45.355604468412736,0.9822496906722911,0.5017319204256531,61.1324277672094,513.197806739868,0
7,-10.2382126903429711006765501224,4525.04740283390,-2.2986975947926425,0.16660582117684442,3.0114324543913966,-12.07753462536563,-7.377856544244992,0.9723357481820318,0.3789330999967584,-226.590971887585,-54.3208780305006,1
8,74.1543292430132510162366088480,270.707914590355,-11.559613590555912,40.17742595179547,65.17413306743705,-34.87427731345851,-98.05357290444721,0.9772457877267092,0.850783603812301,17.6660370073800,504.174832350512,0
9,52.9100298258245445026659581345,84.0497492306035,13.70569159659918,29.47099735793273,53.739175927536934,-58.97112011928242,-64.55592323323137,0.9920146331644488,0.6134064802665276,91.0492845483892,351.484859008319,0
10,-34.4998550945293231961841229349,3831.71597733096,-10.258280166563651,-14.298354679750133,7.552896494421219,-15.697808610186243,14.850898722132882,0.9808381626531486,0.9999057468822748,-220.924496018978,-18.3952524425300,1
11,0.218115228263002336461795493960,826.967586216183,29.97164199997141,10.122150859286478,63.73373844372409,-99.55856058204208,-20.378603789381216,0.9920020894470836,0.7087300086549679,3.79717980883837,335.674931868355,0
12,44.8540284104101090179028687999,656.066510296457,-21.96760856644262,39.72850087869358,69.6476370930294,-47.779836198148516,-80.31909086493658,0.9759687609235831,0.9942866169128108,0.560898340234701,444.930649700373,0
