idx,V,V_O,fitness,AH3,AH3_O,AF3,AF3_O,AF5,AF5_O,A3N3,A3N3_O,AD5,AD5_O,s,tau,lambda1,lambda1_O,lambda2,lambda2_O,taquiónico,taquiónico_O
0,-3.72856270194195801493929828686,-0.000117130000000000000000000000000,0.126347421581532,13.904554025575464,0.268442466227236679300000000000,-12.537558481901854,-0.0397849749059725573000000000000,6.348407736649108,1.63592151122898482000000000000,-64.11724354643061,-1.78776421956490615900000000000,35.2931058421199,0.615745654333057746400000000000,1.60014945956168097090000000000,3.48591006293760086760000000000,-3.26941820842092,0.00123830000000000000000000000000,8.98047169673982,0.00602760000000000000000000000000,1,0
1,-5.07468051313271552666106118743,-0.000117130000000000000000000000000,0.0458928588948444,4.519351633277481,0.268442466227236679300000000000,-2.5828251391900636,-0.0397849749059725573000000000000,-45.26770910464821,1.63592151122898482000000000000,-7.515161832402498,-1.78776421956490615900000000000,16.694793010498017,0.615745654333057746400000000000,1.60014945956168097090000000000,3.48591006293760086760000000000,-35.9882864149320,0.00123830000000000000000000000000,0.206836530009981,0.00602760000000000000000000000000,1,0
2,1.29385210314639670621423101470,-0.000117130000000000000000000000000,0.156509779534451,13.91162946354008,0.268442466227236679300000000000,-5.684006599727169,-0.0397849749059725573000000000000,79.19621370845357,1.63592151122898482000000000000,-91.05602990434886,-1.78776421956490615900000000000,39.432411750023704,0.615745654333057746400000000000,1.60014945956168097090000000000,3.48591006293760086760000000000,-0.0591262391432722,0.00123830000000000000000000000000,66.4857900066341,0.00602760000000000000000000000000,1,0
3,-9.30654791908740293333503107612,-0.000117130000000000000000000000000,0.106991530450537,1.1915390750776709,0.268442466227236679300000000000,-54.04157969992216,-0.0397849749059725573000000000000,8.374246218712585,1.63592151122898482000000000000,-32.01445571051873,-1.78776421956490615900000000000,56.19678094013375,0.615745654333057746400000000000,1.60014945956168097090000000000,3.48591006293760086760000000000,-7.89998193791323,0.00123830000000000000000000000000,-0.0176448627761190,0.00602760000000000000000000000000,1,0
4,-4.39843261568713763565185940094,-0.000117130000000000000000000000000,0.0757770917375978,11.899920280928995,0.268442466227236679300000000000,-22.18585861821012,-0.0397849749059725573000000000000,-23.37644117273507,1.63592151122898482000000000000,-38.52973193449787,-1.78776421956490615900000000000,36.87298820812134,0.615745654333057746400000000000,1.60014945956168097090000000000,3.48591006293760086760000000000,-12.7881638032413,0.00123830000000000000000000000000,1.99155232329614,0.00602760000000000000000000000000,1,0
5,-7.98188108051615397954172321257,-0.000117130000000000000000000000000,0.0410975730851357,5.683452980079878,0.268442466227236679300000000000,-38.22902436720721,-0.0397849749059725573000000000000,32.208758741369394,1.63592151122898482000000000000,-61.67682054802916,-1.78776421956490615900000000000,52.567485592983445,0.615745654333057746400000000000,1.60014945956168097090000000000,3.48591006293760086760000000000,-0.444971685637127,0.00123830000000000000000000000000,8.18862976207986,0.00602760000000000000000000000000,1,0
6,18.6351674537925189332337721694,-0.000117130000000000000000000000000,0.0757406016873060,30.473571820828283,0.268442466227236679300000000000,80.90291884370367,-0.0397849749059725573000000000000,73.0602542488152,1.63592151122898482000000000000,-98.74403650641148,-1.78776421956490615900000000000,-13.231687333176893,0.615745654333057746400000000000,1.60014945956168097090000000000,3.48591006293760086760000000000,-0.330413195178465,0.00123830000000000000000000000000,115.804774885021,0.00602760000000000000000000000000,1,0
7,20.3040208292700308130380448068,-0.000117130000000000000000000000000,0.159251159395610,28.609734313285117,0.268442466227236679300000000000,77.21651618125185,-0.0397849749059725573000000000000,29.441703722025153,1.63592151122898482000000000000,-57.09276449662865,-1.78776421956490615900000000000,-26.982795182840817,0.615745654333057746400000000000,1.60014945956168097090000000000,3.48591006293760086760000000000,-0.707060440162661,0.00123830000000000000000000000000,95.2617986078532,0.00602760000000000000000000000000,1,0
8,8.55870635119323822885119880946,-0.000117130000000000000000000000000,0.136673143534413,14.139481159922227,0.268442466227236679300000000000,53.33303853905781,-0.0397849749059725573000000000000,34.63914742283541,1.63592151122898482000000000000,-51.16972098953892,-1.78776421956490615900000000000,-5.504963746005558,0.615745654333057746400000000000,1.60014945956168097090000000000,3.48591006293760086760000000000,0.150435331234509,0.00123830000000000000000000000000,53.9165336698693,0.00602760000000000000000000000000,0,0
9,-7.05206188193428140428848362375,-0.000117130000000000000000000000000,0.0797619860009401,10.593264522075543,0.268442466227236679300000000000,-35.43732896181319,-0.0397849749059725573000000000000,19.833892339199338,1.63592151122898482000000000000,-68.04965733098464,-1.78776421956490615900000000000,55.99686706987947,0.615745654333057746400000000000,1.60014945956168097090000000000,3.48591006293760086760000000000,-1.58758672938808,0.00123830000000000000000000000000,9.79659401736584,0.00602760000000000000000000000000,1,0
