,V,V_O,fitness,AH3,AH3_O,AF3,AF3_O,AF5,AF5_O,A3N3,A3N3_O,AD5,AD5_O,s,tau,lambda1,lambda1_O,lambda2,lambda2_O,taquiónico,taquiónico_O
0,-2.37064229326308034226547582952,0.00154930000000000000000000000000,0.0952714409203910,5.441032061964691,0.326967191940819265400000000000,-22.542758702983562,1.01338506043586016120000000000,71.29494853945602,-0.860411086648571275100000000000,-67.02979559454663,-0.812563274608413496100000000000,40.24540342671321,-0.0191285817462524626000000000000,1.73948495840490941620000000000,3.63352739268183860940000000000,0.0584195997594200,-0.00144100000000000000000000000000,26.5495105674840,0.00788430000000000000000000000000,0,1
1,-0.779237804772810817393153170125,0.00154930000000000000000000000000,0.121105572183347,-0.31361723340721426,0.326967191940819265400000000000,-30.44055148880811,1.01338506043586016120000000000,57.011712513024065,-0.860411086648571275100000000000,-27.359229924595653,-0.812563274608413496100000000000,28.036025859618462,-0.0191285817462524626000000000000,1.73948495840490941620000000000,3.63352739268183860940000000000,-0.0319966655747659,-0.00144100000000000000000000000000,24.0314641674849,0.00788430000000000000000000000000,1,1
2,-6.46368074507550575504787838252,0.00154930000000000000000000000000,0.150051482940368,5.75417080486109,0.326967191940819265400000000000,-36.11286494431371,1.01338506043586016120000000000,-49.97649283459404,-0.860411086648571275100000000000,-16.259117859474813,-0.812563274608413496100000000000,50.924155386912986,-0.0191285817462524626000000000000,1.73948495840490941620000000000,3.63352739268183860940000000000,-20.8094109215556,-0.00144100000000000000000000000000,0.195903698882614,0.00788430000000000000000000000000,1,1
3,-12.4259076723039162512036442281,0.00154930000000000000000000000000,0.0931508409407482,11.222104321973106,0.326967191940819265400000000000,-66.09911187516633,1.01338506043586016120000000000,15.96479041164956,-0.860411086648571275100000000000,-97.16413093212611,-0.812563274608413496100000000000,93.61682605052445,-0.0191285817462524626000000000000,1.73948495840490941620000000000,3.63352739268183860940000000000,-9.90618697087179,-0.00144100000000000000000000000000,1.00041339669724,0.00788430000000000000000000000000,1,1
4,-2.71083542354059623479045405313,0.00154930000000000000000000000000,0.0534270948831233,8.803990478407428,0.326967191940819265400000000000,-13.712301906337942,1.01338506043586016120000000000,-8.29014859026644,-0.860411086648571275100000000000,-37.71791865370274,-0.812563274608413496100000000000,30.050385112869577,-0.0191285817462524626000000000000,1.73948495840490941620000000000,3.63352739268183860940000000000,-3.41357820541831,-0.00144100000000000000000000000000,1.80803514667609,0.00788430000000000000000000000000,1,1
5,-7.68488943269526418523435801065,0.00154930000000000000000000000000,0.125148677611310,16.47599803972048,0.326967191940819265400000000000,-54.72510576511467,1.01338506043586016120000000000,-10.017736508182423,-0.860411086648571275100000000000,-79.49405694775479,-0.812563274608413496100000000000,79.23522176864759,-0.0191285817462524626000000000000,1.73948495840490941620000000000,3.63352739268183860940000000000,-6.54195246172895,-0.00144100000000000000000000000000,3.45087096347326,0.00788430000000000000000000000000,1,1
6,-5.45105177928599202027312357800,0.00154930000000000000000000000000,0.102273755537154,12.377365704302164,0.326967191940819265400000000000,-40.29344406059656,1.01338506043586016120000000000,-41.71370403233479,-0.860411086648571275100000000000,-38.594438542968376,-0.812563274608413496100000000000,51.82994879620324,-0.0191285817462524626000000000000,1.73948495840490941620000000000,3.63352739268183860940000000000,-14.8811865065296,-0.00144100000000000000000000000000,0.987752502047524,0.00788430000000000000000000000000,1,1
7,-2.62363372648574268117118270370,0.00154930000000000000000000000000,0.0664440714721008,1.1480646446196658,0.326967191940819265400000000000,-44.203393042437455,1.01338506043586016120000000000,22.210417549154755,-0.860411086648571275100000000000,-18.583585522092008,-0.812563274608413496100000000000,35.83571813360956,-0.0191285817462524626000000000000,1.73948495840490941620000000000,3.63352739268183860940000000000,-0.112628243441237,-0.00144100000000000000000000000000,9.66180115681846,0.00788430000000000000000000000000,1,1
8,-5.75961714525286828306925694492,0.00154930000000000000000000000000,0.106295565466250,0.6633389758911932,0.326967191940819265400000000000,-84.7513255584841,1.01338506043586016120000000000,68.44212447529671,-0.860411086648571275100000000000,-48.74651976199208,-0.812563274608413496100000000000,69.36249788526095,-0.0191285817462524626000000000000,1.73948495840490941620000000000,3.63352739268183860940000000000,-0.164755921295759,-0.00144100000000000000000000000000,23.3020099052740,0.00788430000000000000000000000000,1,1
9,2.21511092483873608856266808843,0.00154930000000000000000000000000,0.140866993921230,14.811014731802459,0.326967191940819265400000000000,-2.3779947872314153,1.01338506043586016120000000000,1.4640535248471593,-0.860411086648571275100000000000,-42.34452967322334,-0.812563274608413496100000000000,15.19381304603364,-0.0191285817462524626000000000000,1.73948495840490941620000000000,3.63352739268183860940000000000,-1.16864889655019,-0.00144100000000000000000000000000,16.2468068086950,0.00788430000000000000000000000000,1,1
