,V,fitness,AH3,AF3,AF5,A3N3,s,tau,lambda1,lambda2,taquiónico
0,21.1780847966042813368403585628,3118.59622328012,60.06861145884224,59.8221631752003,-8.736766550642102,-95.11247799775481,0.8913332991441204,0.97946090462904,169.270715787875,191.038454802912,0
1,-9.47629701123786816197025473230,828.979822402941,-4.043234116098944,-4.805243254741896,4.720162896990303,-3.6724584753416423,0.9571211413257631,0.7232967231032575,-81.4514810590767,-22.5290816656481,1
2,-23.6786711964943634711744380184,246.173319773199,14.113175833596657,9.445047695392873,44.158315357013805,-89.87911319640148,0.9319494261397765,0.9445859827864651,26.6292130999102,213.104335371270,0
3,-32.2831682692898738196163321845,3232.64750612818,-46.06819250971219,-17.297284799276653,37.07224845575391,-9.803052905332038,0.9403801098422659,0.6020547422501009,-190.850546838458,-8.99311095196298,1
4,-4.02023830141360605239242431708,85.0590754143255,29.351780613013347,18.310494057450285,9.286373814076867,-60.195926734289664,0.9747994828956851,0.9250073867725548,15.5344960886393,70.2329075572611,0
5,-16.0106772810937485473914421163,439.688527193870,30.385040761884824,18.259242547069633,30.777336283940087,-94.29416217055845,0.9773121165620594,0.6488030266802849,59.5950424847684,165.063159431236,0
6,-20.6950739031565049685923440848,558.479162957298,10.079793576788163,7.052963173646191,45.83266732222836,-83.32312354638366,0.8656816071412795,0.9274872082465748,27.0554299162902,540.008849234905,0
7,-8.27407767812139560703599272529,306.037883629857,3.3698611336064204,3.0916996396960883,32.94966283851329,-49.364173847845336,0.9618608277726327,0.5142527761169584,46.3466328870378,230.291880341514,0
8,-0.619122939149484352583385771140,1176.73968024953,28.780879840845074,32.06581585515323,19.941907371353707,-83.966374786092,0.8988686702334727,0.920152332626437,104.117114009152,302.500963725235,0
9,-7.21575962282554073112805781420,14.9237957116565,23.895915890578692,15.066571213122515,16.397821544565886,-61.38731025398203,0.9308302288146003,0.8031718773859403,71.9556656342118,101.895800482587,0
10,-5.65195679030153996791341342032,593.476064662999,40.52423477110247,19.748819037330364,22.802389960898523,-87.48655239860466,0.9366232704808152,0.9050541279351451,38.3474774097252,219.378481902280,0
11,6.22041712459201256990581896389,2028.02970668257,32.10844356570894,7.350291161016571,16.027623664015266,-46.82531171775521,0.9688966168299612,0.8500660248099,2.29599595889482,258.516557539300,0
12,1.40614958809264800621008362214,293.249863795744,2.7161941490898727,3.5206344428291487,12.032037371790167,-17.286361101316402,0.9894386585241365,0.8334598218858047,12.0524761302532,120.326704228578,0
13,16.8130470493223711514474416617,1855.09016288651,58.809743409740776,20.41060207606064,-8.702513440734563,-45.15077588844416,0.9721417142908754,0.6421380753637104,113.120158004487,185.691451673001,0
14,-8.50051572965523760672112985048,170.901844217095,19.874873161760902,9.118231550032505,35.48454161234642,-71.51816935277617,0.9974840103737892,0.8338274174025708,29.0164111108145,188.357123784322,0
15,-11.2716511475168346123609808274,271.174558171466,43.10863290612767,21.090288003178244,15.958580449122522,-86.73803013868432,0.9288239151084421,0.7617251313966754,33.3846749306368,127.763713303205,0
16,-8.65432209378073480365856084973,63.6982108678677,29.868161399133044,20.10005363579377,18.632798377364182,-76.14949809120348,0.9094163845871475,0.759113558798647,106.707948481731,153.412992240790,0
17,-5.70109902030059245703341730405,1407.14086216921,20.953992069481004,9.24784434813273,33.28248182049407,-68.9859010539485,0.9001451604202017,0.6448837224973998,94.4490210186117,416.203700459196,0
