,V,fitness,AH3,AF3,AF5,AD5,s,taquiónico,type
0,-0.310958155597909,54.26814980407718,-17.75640617071815,-64.72971457513864,56.74642098729562,86.6187298298257,1.053781742958659,1,-1
1,-9.41658309957525,41.89586301120309,26.18055757118123,42.86768856971208,71.2539019050482,-44.618158052042965,1.053781742958659,0,-1
2,-6.79935287472679,14.379058640599744,2.8960221439692164,23.00104160924897,63.8022244680607,-28.004159850848392,1.053781742958659,0,-1
3,-10.332123333089504,69.82402163248486,-5.533787123939444,56.378374913035486,93.8402168799724,-63.27305224201058,1.053781742958659,0,-1
4,6.233417128210504,43.87487262190674,-1.420806310130371,-42.26328932588054,17.561810327475573,86.34707335839046,1.053781742958659,1,1
5,-1.2054341221233322,14.95042052237973,38.48140439954098,45.30107293153068,30.8967274260807,-8.82761478562858,1.053781742958659,0,-1
6,-8.87748256502815,17.842184216506453,11.65305301561239,54.74056322892075,62.27594743865546,-68.27855887430266,1.053781742958659,0,-1
7,-7.406362609297683,16.682850940921867,12.349866008750414,51.14817240027624,47.44032459400879,-54.425666972152335,1.053781742958659,0,-1
8,8.818123689872921,109.15183964261134,35.60442040662858,53.91036845916561,-58.65951337163878,-6.3009951237796,1.053781742958659,0,1
9,3.611440725284156,48.15853425834143,-3.366411513234759,-33.324440651155285,2.9028489039582706,66.90884314892457,1.053781742958659,1,1
10,-1.337579087869095,82.69270672138704,-35.63728276775561,-87.98998360136589,55.38009686107566,70.5784328713421,1.053781742958659,1,-1
11,-6.32811003721298,27.969801679361595,17.041384226007505,53.92907996242565,6.916289891859641,-74.37051066444562,1.053781742958659,0,-1
12,-5.982013039058167,21.450483631204364,3.347743531717956,30.613586234093116,35.78294206588519,-59.51234600782016,1.053781742958659,0,-1
13,-0.0590885136027647,21.313796756963846,38.0577747753357,75.1369579887384,-24.24248733487544,-38.86510198652413,1.053781742958659,0,-1
14,-2.901416643697914,39.200750562620215,17.65642550821934,40.5023489403871,55.25581042534623,-20.973979350441148,1.053781742958659,0,-1
15,-0.2301897764543143,4.27339122645893,10.65334094713145,-18.172303347974463,57.19160671590347,48.56608435653754,1.053781742958659,0,-1
16,-11.125932906802966,31.72111163494897,5.014175165210741,69.35278386729851,71.85268275136598,-86.37074767307567,1.053781742958659,0,-1
17,-4.086179675129797,12.838182865908236,11.27985370866368,8.220420403331488,43.358427787195495,-0.543596257605059,1.053781742958659,0,-1
18,-6.744932841269128,24.62922701543147,36.42835576771354,81.07760464780065,10.544818675182386,-68.3499536757055,1.053781742958659,0,-1
19,1.5975503181717985,21.84594454371492,66.56922394792035,98.19655530785698,-28.85672154495211,-43.72589915970911,1.053781742958659,0,1
20,-1.9864320517422644,37.84986929566344,39.97721397199824,72.26840345988062,21.32539053977041,-49.889504680962894,1.053781742958659,0,-1
21,5.062152363866883,77.5103087037867,46.19113862068805,97.86445428304654,-62.30834056079736,-53.16055902735166,1.053781742958659,0,1
22,4.2522036128441885,36.253018565110615,20.913657011073305,31.79011760231215,-28.777714538260614,-12.752527536939615,1.053781742958659,0,1
23,-1.136397523918541,4.39400442527522,24.7876497362463,30.460944985534496,19.861405192116564,3.097230715177972,1.053781742958659,0,-1
24,2.9843118043038777,15.312988546776362,5.009691148891156,-17.778300290669797,15.244659991577532,39.76760890408651,1.053781742958659,1,1
25,-1.2560325110601802,3.784518747374999,7.402618137824154,-16.961756988231926,57.35772781856356,46.89523776574577,1.053781742958659,0,-1
26,-5.58923151764683,20.636343089682622,29.89258077526636,76.88994009755235,30.470769771685944,-53.720133208823135,1.053781742958659,0,-1
27,-6.704883958130608,58.64486989413509,4.957463472089354,26.90299272441724,14.49673828813322,-42.67065569088346,1.053781742958659,1,-1
28,-0.8374073109435649,5.638289316707457,49.98822574528709,79.37113943456981,-8.32995400755688,-28.324272071304257,1.053781742958659,0,-1
29,2.8794476920453684,88.79119256825514,2.2592053517286814,7.116419899018148,29.695942523193903,16.256488279629217,1.053781742958659,0,1
30,6.734875146465932,65.3561863364462,26.320183391340613,27.430882735224152,-28.187301575261912,12.672381956639455,1.053781742958659,0,1
31,-0.9848369259073068,23.434180632933234,16.708718483288006,18.46760499003187,43.09486140442432,24.490079757243027,1.053781742958659,0,-1
32,-3.4917773222612283,15.00262244778552,30.99369156121991,53.296962306317866,30.47564042293149,-15.166970547326542,1.053781742958659,0,-1
33,-9.179164264348069,37.42723368943231,19.91457499035201,41.41970443952151,86.00906193426027,-53.95680789497284,1.053781742958659,0,-1
34,6.546890079982492,38.45943343166336,29.08946695289212,0.5963683700207412,4.4170307863143545,64.33961670306371,1.053781742958659,0,1
35,-7.416190771935994,17.157247495136758,18.80205438270941,76.92593184502354,28.20151035807467,-93.91097294314328,1.053781742958659,0,-1
36,4.98047805157067,113.67970999971392,17.4660401990691,52.77830637152934,-27.31228716855124,-18.86829441339724,1.053781742958659,0,1
37,-6.639081837510053,16.2425989671169,-0.6801869628297379,12.360426539235656,57.13764525772323,-25.579001826100026,1.053781742958659,0,-1
38,4.704344074233534,36.77711594475703,38.79201779317322,30.70044662562274,-26.019540337295105,3.607166804860357,1.053781742958659,0,1
39,-3.623975097882383,14.10605230492898,48.03897742971888,96.26930872467868,-18.04828537142193,-83.27826588725644,1.053781742958659,0,-1
