,V,fitness,s,tau,AF3,AH3,A3N3,AF5,AD5,lambda1,lambda2,taquiónico,type
0,2.5645925664008477e-05,0.0284540128270923,2.1555968919717063,3.134572259162862,96.10844489226554,19.79085934633011,-100.0,47.27345810897978,-1.9298486048424608,0.4227099002642679,0.6119052667051078,0,1
1,2.961028894743478e-06,0.0280546644383193,2.1555968919717063,3.134572259162862,100.0,20.257808810603947,-100.0,44.119134660691785,-3.42773653102642,0.4154990154737761,0.6276482784984925,0,1
2,1.226441655788335e-05,0.0296841582732666,2.1555968919717063,3.134572259162862,87.7639264732805,18.764361418954067,-100.0,54.29803059455486,1.2565278821114,0.4404512616608446,0.5781621864302448,0,1
3,5.2744372647239857e-08,0.0391457774892464,2.1555968919717063,3.134572259162862,63.64690936283104,15.445519127954867,-99.99999878730526,78.11209424259853,10.166651998885596,0.4703157438960197,0.5336838059240427,0,1
4,1.8831364454685584e-05,0.0291379352841599,2.1555968919717063,3.134572259162862,90.97867778581946,19.179445290815828,-99.99999343792476,51.5216378434805,0.0124806251975652,0.4333791840127448,0.5909183534495286,0,1
5,2.2117482858741155e-05,0.0318423225354865,2.1555968919717063,3.134572259162862,78.66604201288244,17.625050264061194,-99.99877396751845,62.43635096424868,4.639317576799059,0.4645895613548332,0.5412569094532659,0,1
6,0.0001314959954703,0.0302864427626198,2.1555968919717063,3.134572259162862,85.05336062045225,18.39445627627712,-99.99975768762094,56.70663321810627,2.3261602030195805,0.4466315587268901,0.5677749160847081,0,1
7,2.523430131518012e-06,0.028061030168145,2.1555968919717063,3.134572259162862,99.89598376510476,20.25920782033633,-100.0,44.17692147017242,-3.4055208360490536,0.4157720763267076,0.6270403644844943,0,1
8,6.567337781993032e-05,0.0284715941061487,2.1555968919717063,3.134572259162862,95.93890180940284,19.793727176502724,-100.0,47.36570851169462,-1.8931340871488231,0.4231901573958943,0.6109092636015727,0,1
9,6.011276099782137e-06,0.0310412465984943,2.1555968919717063,3.134572259162862,81.50202557694216,18.001580591282654,-99.99916404653362,59.80294902723326,3.571821806669971,0.4567010037979646,0.5523814348754499,0,1
