-0.00011713,"s -> 1.6001494595616809709`5.","τ -> 3.4859100629376008676`5.","AF3 -> -0.0397849749059725573`5.","AH3 -> 0.2684424662272366793`5.","AO3 -> -1.787764219564906159`5.","AF5 -> 1.63592151122898482`5.","AD5 -> 0.6157456543330577464`5.",0.0012383,0.0060276
-0.00002191,"s -> 2.4592421112921929836`5.","τ -> 3.0947272010640287964`5.","AF3 -> 0.0540683208180821717`5.","AH3 -> 0.1050685271259067707`5.","AO3 -> -0.9921818301375468621`5.","AF5 -> 0.7376324448961029339`5.","AD5 -> 0.4214759213644659179`5.",0.0010439,0.0024563
0.021776,"s -> 1.0537817429586589587`5.","τ -> 1.4533862399266006523`5.","AF3 -> 1.7778200617014661165`5.","AH3 -> 0.8930425134791503764`5.","AO3 -> -0.1227023421465613392`5.","AF5 -> -1.3757379301891065884`5.","AD5 -> -1.2704619002946824791`5.",-0.30279,0.66803
-0.00075008,"s -> 1.1211449964209516309`5.","τ -> 4.7873384691015685341`5.","AF3 -> 0.4391329872527930176`5.","AH3 -> 0.3096474921664423485`5.","AO3 -> -0.9344652059288236438`5.","AF5 -> 0.9688171878719582274`5.","AD5 -> -0.0430920256253859942`5.",0.00036588,0.0051962
0.000086616,"s -> 2.1555968919717061688`5.","τ -> 3.1345722591628622994`5.","AF3 -> 0.0415109657377320247`5.","AH3 -> 0.121509005712347962`5.","AO3 -> -0.9985124044096146001`5.","AF5 -> 0.7355715178981775105`5.","AD5 -> 0.4024719320584015036`5.",0.00091767,0.002992
0.012494,"s -> 0.7631940241558249739`5.","τ -> 2.4765944739659698284`5.","AF3 -> -0.0954141259952190397`5.","AH3 -> 0.3901156796500693734`5.","AO3 -> -0.6817982044692933596`5.","AF5 -> -0.3631405746572389233`5.","AD5 -> 0.4693611939945362665`5.",-0.018514,0.044286
-1.0696e-6,"s -> 4.1213528857264001585`5.","τ -> 32.5071169772161191913`5.","AF3 -> 0.0466637508131670547`5.","AH3 -> -0.0269979068677375392`5.","AO3 -> 0.3207550640501682468`5.","AF5 -> -0.4020895572028637257`5.","AD5 -> -0.0873005353503625894`5.",-2.7697e-7,7.7046e-9
0.0056011,"s -> 1.2158541232221987702`5.","τ -> 2.7353549498264809891`5.","AF3 -> 0.2329388950916843505`5.","AH3 -> 0.3400290371383419173`5.","AO3 -> -0.8119952364261547623`5.","AF5 -> -0.3338848078208878232`5.","AD5 -> 0.2958053057669317506`5.",-0.006897,0.02375
-0.00018281,"s -> 2.3871383679974130322`5.","τ -> 2.9709305229720873798`5.","AF3 -> 0.0491153301881411034`5.","AH3 -> 0.1063527005923751592`5.","AO3 -> -0.9935399738862809401`5.","AF5 -> 0.7358556616648455527`5.","AD5 -> 0.4182577913205171127`5.",0.0014294,0.0029485
0.001465,"s -> 2.4469845184420504058`5.","τ -> 3.0853751719799751828`5.","AF3 -> 0.5231532935575132716`5.","AH3 -> 0.2508811780903161005`5.","AO3 -> -1.8559051030585046873`5.","AF5 -> 0.8362034962154834529`5.","AD5 -> 0.7126364788330712715`5.",0.00015667,0.005987
0.0011133,"s -> 0.8719611650083200786`5.","τ -> 3.002303144861041748`5.","AF3 -> 0.51034383780230796`5.","AH3 -> 0.566877181889042034`5.","AO3 -> -0.6861041182434671411`5.","AF5 -> -0.5445286427444345574`5.","AD5 -> -0.0980696911920821389`5.",-0.0020495,0.050265
-0.00032169,"s -> 1.9464841943037882172`5.","τ -> 5.1427391898355865631`5.","AF3 -> -0.0023016062189381405`5.","AH3 -> 0.0857763683720961887`5.","AO3 -> -0.8452324026790529875`5.","AF5 -> 1.5397792612636616041`5.","AD5 -> 0.2068909989968094675`5.",0.00020257,0.00049835
-0.0012916,"s -> 0.9287244942797835697`5.","τ -> 7.7119172796709055327`5.","AF3 -> 2.667842374080432071`5.","AH3 -> 1.0950360817061766448`5.","AO3 -> -0.6923334057740807253`5.","AF5 -> -0.6048445740924757357`5.","AD5 -> -1.2878841100639373593`5.",0.00014769,0.0074976
-0.00046411,"s -> 3.4503172389111070364`5.","τ -> 5.9334145391034201584`5.","AF3 -> 0.0617566492097650072`5.","AH3 -> -0.0940847773686729196`5.","AO3 -> 0.9464999507201167131`5.","AF5 -> -0.3066441346506569441`5.","AD5 -> -0.5223896598501147029`5.",-0.00019782,0.000093935
0.0017302,"s -> 1.910161783310092244`5.","τ -> 3.1294497890511219771`5.","AF3 -> 0.0661566482989483663`5.","AH3 -> 0.0913940327880419754`5.","AO3 -> -0.4169306316253875824`5.","AF5 -> -0.059896968215785239`5.","AD5 -> 0.2186670232393357562`5.",-0.0014576,0.0025335
0.0099273,"s -> 0.7950698454640701412`5.","τ -> 2.4985012272231570353`5.","AF3 -> 0.1751575475080258004`5.","AH3 -> 0.6686404707326185629`5.","AO3 -> -1.0665103207495629119`5.","AF5 -> -0.3827621651400853599`5.","AD5 -> 0.3512268419640372748`5.",-0.014524,0.092289
-6.516e-7,"s -> 2.0955878038400534285`5.","τ -> 3.0496499206866823752`5.","AF3 -> 0.0385694952177721726`5.","AH3 -> 0.1236940263709981659`5.","AO3 -> -1.0001105049582508873`5.","AF5 -> 0.7345449033138410748`5.","AD5 -> 0.3992328902454443332`5.",0.001154,0.0034117
