0.0075676,"s -> 1.31008133669994114`5.","τ -> 2.9194472056572505207`5.","AF3 -> 0.5936653285487315467`5.","AH3 -> 0.34589570254716206`5.","AO3 -> -0.1530896267809452525`5.","AF5 -> -1.6492250273380931269`5.",-0.010655,0.021221
-4.6808e-6,"s -> 1.6113040248526770137`5.","τ -> 4.8640537163437110445`5.","AF3 -> 0.0126430906852427012`5.","AH3 -> 0.0048696558443953599`5.","AO3 -> -0.0178476545491028813`5.","AF5 -> 0.0078602953342470601`5.",2.3742e-6,0.000052524
0.0030695,"s -> 1.6100510373492158039`5.","τ -> 2.8189524420684376089`5.","AF3 -> 0.6579758167430261171`5.","AH3 -> 0.2538228088323492155`5.","AO3 -> -0.5422986256582102016`5.","AF5 -> -0.581486591339978027`5.",-0.0046353,0.014075
-0.00021903,"s -> 1.9491988914641889505`5.","τ -> 5.3575429642699501593`5.","AF3 -> 0.0674027649697884829`5.","AH3 -> 0.0177404814158186244`5.","AO3 -> -0.2038912040677053819`5.","AF5 -> 0.5413733570617616948`5.",0.000091572,0.00011837
0.001532,"s -> 1.226398458003296185`5.","τ -> 3.5690036992967403245`5.","AF3 -> 0.8188887702271902465`5.","AH3 -> 0.5444546657777595884`5.","AO3 -> -1.0568553130747723034`5.","AF5 -> -0.7456935676221665662`5.",-0.0014432,0.019531
0.0081462,"s -> 1.8503853125185042335`5.","τ -> 2.1523332053802752193`5.","AF3 -> 1.0483969669377515918`5.","AH3 -> 0.3061973380009699677`5.","AO3 -> -0.8082707773019834148`5.","AF5 -> -0.5244622659870116687`5.",-0.021102,0.033193
-0.00049042,"s -> 2.828829776011190008`5.","τ -> 4.1391195803403273123`5.","AF3 -> -0.9540067729389863551`5.","AH3 -> -0.1192169010704532261`5.","AO3 -> 0.5353811834664608979`5.","AF5 -> 0.4318367950497411712`5.",-0.0011886,0.0003435
-2.7975e-6,"s -> 1.6984589055924566277`5.","τ -> 19.1729904420621465541`5.","AF3 -> -0.6623990709510553419`5.","AH3 -> -0.2296199550544359207`5.","AO3 -> 0.7011309224656424314`5.","AF5 -> 1.1341187078148607359`5.",-0.000038363,9.1323e-8
0.00076491,"s -> 2.3235096832418805686`5.","τ -> 2.0050457441850137616`5.","AF3 -> 0.8865508919753712243`5.","AH3 -> 0.1642157082033626563`5.","AO3 -> -0.7384505987196766927`5.","AF5 -> -0.0370877986800840895`5.",-0.0022832,0.017536
-0.000031244,"s -> 8.2315873414334215155`5.","τ -> 9.7195573273570500467`5.","AF3 -> -0.3144362628645536264`5.","AH3 -> -0.0046405071342330438`5.","AO3 -> -0.038357806862017827`5.","AF5 -> 0.8365279388051473619`5.",-1.2279e-6,3.9688e-6
0.00039624,"s -> 1.0945956770344869618`5.","τ -> 4.2303630301786185884`5.","AF3 -> 0.1632987935618397981`5.","AH3 -> 0.1362936175824311981`5.","AO3 -> -0.1783817443742792262`5.","AF5 -> -0.3807043235261295905`5.",-0.00026569,0.0032894
0.0025524,"s -> 0.8841302025475353728`5.","τ -> 1.600497189206173801`5.","AF3 -> 0.0041208085813058277`5.","AH3 -> 0.0052716915073226418`5.","AO3 -> 0.0325360393618581926`5.","AF5 -> -0.050244923687424347`5.",-0.011957,0.0029087
0.00037728,"s -> 1.5112482084380054188`5.","τ -> 2.5020795320392031744`5.","AF3 -> 0.4994219196736780356`5.","AH3 -> 0.2186734221931973477`5.","AO3 -> -0.6373004324781978372`5.","AF5 -> -0.0443603736720071383`5.",-0.00072318,0.018475
0.0025524,"s -> 0.8841302025475353728`5.","τ -> 1.600497189206173801`5.","AF3 -> 0.0041208085813058277`5.","AH3 -> 0.0052716915073226418`5.","AO3 -> 0.0325360393618581926`5.","AF5 -> -0.050244923687424347`5.",-0.011957,0.0029087
-0.000083393,"s -> 2.6757372662206740125`5.","τ -> 5.774955535939282251`5.","AF3 -> -0.6997030222876182963`5.","AH3 -> -0.0977297561608994936`5.","AO3 -> 0.4587537404481198645`5.","AF5 -> 0.278257111138746625`5.",-0.00037929,0.000030006
0.005525,"s -> 1.409170916971799101`5.","τ -> 2.1263818486383588578`5.","AF3 -> 0.381400480973699485`5.","AH3 -> 0.1920675043969709304`5.","AO3 -> -0.3288329921938816008`5.","AF5 -> -0.3388584418068865897`5.",-0.014663,0.028353
0.011703,"s -> 1.1712120393564464658`5.","τ -> 2.01570351556278944`5.","AF3 -> 0.4480661942025532838`5.","AH3 -> 0.3266413202981802122`5.","AO3 -> -0.3817558413938872791`5.","AF5 -> -0.5795802494829480685`5.",-0.034563,0.068106
0.0024503,"s -> 1.7854524455052741686`5.","τ -> 2.0726320053342731822`5.","AF3 -> 0.1160223714491989147`5.","AH3 -> 0.0363952882238122002`5.","AO3 -> -0.0426965493244937991`5.","AF5 -> -0.135655158703466212`5.",-0.0068448,0.0045789
0.0015281,"s -> 0.8869219725834060154`5.","τ -> 3.5166891501859376717`5.","AF3 -> 0.3760916309362151377`5.","AH3 -> 0.4781045104170151899`5.","AO3 -> -0.5822488010321501591`5.","AF5 -> -0.7011416310978667843`5.",-0.0014827,0.024789
0.0042296,"s -> 1.3577926186528955385`5.","τ -> 1.818966868585507496`5.","AF3 -> 0.1593737839288237403`5.","AH3 -> 0.0864470140921321824`5.","AO3 -> -0.1329352499178103086`5.","AF5 -> -0.1389040207220557707`5.",-0.01534,0.021158
0.037703,"s -> 0.5399893427192121291`5.","τ -> 1.5683441203172154892`5.","AF3 -> 0.1332712719165640412`5.","AH3 -> 0.4570525805121853808`5.","AO3 -> 0.0881741377068655658`5.","AF5 -> -0.6843248229986317892`5.",-0.18394,0.43882
0.0019923,"s -> 3.3493582472457820796`5.","τ -> 2.2954340746662106386`5.","AF3 -> 0.292825602059064363`5.","AH3 -> 0.0261027245558268866`5.","AO3 -> -0.0784710699193684555`5.","AF5 -> -0.1659317902637767829`5.",-0.0045373,0.0012887
0.00060548,"s -> 1.76021056776599522`5.","τ -> 4.8393907859746274355`5.","AF3 -> 0.2700562060816619386`5.","AH3 -> 0.0871615438430742042`5.","AO3 -> -0.0323526672067342604`5.","AF5 -> -0.9962829878266797724`5.",-0.00031024,0.00087381
0.0033534,"s -> 0.8528068569252864963`5.","τ -> 2.4915466823061330172`5.","AF3 -> 0.083555973989133927`5.","AH3 -> 0.1148883887733730163`5.","AO3 -> 0.0115146225007335838`5.","AF5 -> -0.3876905823515049854`5.",-0.0064823,0.01742
0.0042563,"s -> 1.8835465847881828017`5.","τ -> 2.7129962177304356105`5.","AF3 -> 0.5277459647873222048`5.","AH3 -> 0.1487552114467945393`5.","AO3 -> -0.2204067720706974291`5.","AF5 -> -0.6917488603505463002`5.",-0.0069393,0.00791
0.0014185,"s -> 1.2599535971318314784`5.","τ -> 3.4338483893977976999`5.","AF3 -> 0.3352359235637899453`5.","AH3 -> 0.2111744878092200768`5.","AO3 -> -0.302403602608519242`5.","AF5 -> -0.5916602546886484953`5.",-0.0014436,0.0082789
-0.00067847,"s -> 0.9555078778217352678`5.","τ -> 5.6876362008172375064`5.","AF3 -> 0.1971079622450005571`5.","AH3 -> 0.2158915399195895812`5.","AO3 -> -0.9119028601878965526`5.","AF5 -> 2.1300086345703329808`5.",0.00025168,0.002456
-0.0010457,"s -> 3.375374142543939093`5.","τ -> 3.0916518077892222817`5.","AF3 -> 0.8062382207238441943`5.","AH3 -> 0.0707651683785694538`5.","AO3 -> -0.6013237494950804259`5.","AF5 -> 0.2866098273014046416`5.",0.0013128,0.0014189
-0.00033309,"s -> 1.0742129908496860233`5.","τ -> 5.2335455897395045947`5.","AF3 -> 0.0920326070792049784`5.","AH3 -> 0.0797555518706566195`5.","AO3 -> -0.362337966594546348`5.","AF5 -> 0.7496624910653067561`5.",0.00014593,0.0010359
-0.00028865,"s -> 0.8781830351730063759`5.","τ -> 3.2840701652968308892`5.","AF3 -> 0.0947897154994508041`5.","AH3 -> 0.1229111079637394996`5.","AO3 -> -0.2567713228613147495`5.","AF5 -> 0.1007251162828116301`5.",0.00032116,0.0079031
-0.000015429,"s -> 1.564697516055607994`5.","τ -> 5.8394294128876228808`5.","AF3 -> 0.1336551091740511596`5.","AH3 -> 0.0545914687311535903`5.","AO3 -> -0.1831269697160442246`5.","AF5 -> 0.0538192413584360983`5.",5.4297e-6,0.00035044
-0.000066466,"s -> 1.1418841123833126735`5.","τ -> 9.2509084709056923338`5.","AF3 -> -0.2422285609312826588`5.","AH3 -> -0.1857724412307973401`5.","AO3 -> 0.2137809023444287066`5.","AF5 -> 1.4603504647508906623`5.",-0.00041099,9.3199e-6
0.0015114,"s -> 0.8621728091530311734`5.","τ -> 2.0433667744303673966`5.","AF3 -> 0.2527485983476056124`5.","AH3 -> 0.3400165931453169595`5.","AO3 -> -0.534726691576188423`5.","AF5 -> -0.0790467716088799435`5.",-0.0043438,0.092448
-0.00013048,"s -> 1.8768542291704805766`5.","τ -> 3.7874890648457515804`5.","AF3 -> 0.5984357895166945465`5.","AH3 -> 0.1698855623259180411`5.","AO3 -> -0.6660575267954467655`5.","AF5 -> 0.0805503892468866284`5.",0.00010915,0.003332
0.0023265,"s -> 1.4517767620456185931`5.","τ -> 3.0024603076824764904`5.","AF3 -> 0.1284643006871011428`5.","AH3 -> 0.0609512723613261935`5.","AO3 -> 0.0749084440335985887`5.","AF5 -> -0.5672031664154530035`5.",-0.003097,0.0031023
0.010427,"s -> 0.7447281861231484597`5.","τ -> 2.2524960639431488886`5.","AF3 -> 0.4288851122947818986`5.","AH3 -> 0.7732953323560310115`5.","AO3 -> -0.6751371077677003135`5.","AF5 -> -0.8052434990146826999`5.",-0.024661,0.18171
-0.00050097,"s -> 2.166761315403158156`5.","τ -> 4.7524058340686379049`5.","AF3 -> -1.0594801498684709614`5.","AH3 -> -0.225668362623230251`5.","AO3 -> 0.762852507073260392`5.","AF5 -> 0.7666335727592915848`5.",-0.0019407,0.00026617
0.0024218,"s -> 1.9911915258633785566`5.","τ -> 3.7952751228520484237`5.","AF3 -> 0.6420079104504880539`5.","AH3 -> 0.161925150198828366`5.","AO3 -> -0.1152687525713272444`5.","AF5 -> -1.5074241329317592198`5.",-0.0020176,0.0029751
0.0044078,"s -> 2.0375416169059477089`5.","τ -> 3.1517041882300377368`5.","AF3 -> 0.61371893803969547`5.","AH3 -> 0.1478279481334236257`5.","AO3 -> -0.0504360438479190279`5.","AF5 -> -1.3047467918643571315`5.",-0.0053249,0.0046349
-0.00076049,"s -> 3.1401437176062967033`5.","τ -> 3.8172420341674091786`5.","AF3 -> 0.6427479185533886724`5.","AH3 -> 0.0651840932215740948`5.","AO3 -> -0.5785757755196854053`5.","AF5 -> 0.4844106877832412899`5.",0.00062629,0.0007464
-0.00032442,"s -> 2.9043842593546663771`5.","τ -> 4.1529628367124426635`5.","AF3 -> 0.9467460102283526148`5.","AH3 -> 0.1122342308950428555`5.","AO3 -> -0.7448916171667339235`5.","AF5 -> 0.2895101513647762171`5.",0.00022572,0.001079
-0.00020267,"s -> 1.3478016571701089589`5.","τ -> 4.1222229792160577526`5.","AF3 -> 0.2557523313810674936`5.","AH3 -> 0.1407886450495571603`5.","AO3 -> -0.4362972221838334865`5.","AF5 -> 0.1755661485044482803`5.",0.00014312,0.0029825
5.6399e-7,"s -> 2.0009647384981326987`5.","τ -> 9.2916717976712905382`5.","AF3 -> 0.374901038802220217`5.","AH3 -> 0.0936349047162280367`5.","AO3 -> -0.3729105687343035059`5.","AF5 -> -0.0126114689999748137`5.",-7.839e-8,0.00011667
-0.000035519,"s -> 2.1695522651949632473`5.","τ -> 7.6408068521656612804`5.","AF3 -> -0.4059742186288003598`5.","AH3 -> -0.0862498246573039548`5.","AO3 -> 0.3108689923455559695`5.","AF5 -> 0.3631943645427758236`5.",-0.00017824,7.3007e-6
0.010381,"s -> 2.2297968347356393579`5.","τ -> 2.5383965244234514085`5.","AF3 -> 1.5072132380162461102`5.","AH3 -> 0.3031406033465024642`5.","AO3 -> -0.6727123968469123534`5.","AF5 -> -1.2930049671009981739`5.",-0.019333,0.016624
1.247e-9,"s -> 1.3626312172796558259`5.","τ -> 61.3860381282636112518`5.","AF3 -> 0.2800489823407310569`5.","AH3 -> 0.1508263879156984309`5.","AO3 -> -0.4098876303286419231`5.","AF5 -> -0.0531231151394566314`5.",-3.9712e-12,9.5702e-7
0.00010445,"s -> 2.2197887776094736049`5.","τ -> 4.401755629343577836`5.","AF3 -> 0.3730965914814110747`5.","AH3 -> 0.0757177985412028468`5.","AO3 -> -0.3005218520315594973`5.","AF5 -> -0.1176364357798286845`5.",-0.000064691,0.00079991
-0.00070386,"s -> 2.3839026576065308935`5.","τ -> 3.9176339911464624118`5.","AF3 -> -1.0909020662257231536`5.","AH3 -> -0.1919591104614799143`5.","AO3 -> 0.7459378642106989156`5.","AF5 -> 0.497399861894861424`5.",-0.0026784,0.00055033
-0.000079645,"s -> 0.9443544569886182113`5.","τ -> 5.7364799593431474344`5.","AF3 -> 0.0992449666954302432`5.","AH3 -> 0.111285459052199142`5.","AO3 -> -0.2703243824016864478`5.","AF5 -> 0.2587376638729278401`5.",0.000029043,0.0012485
0.00092727,"s -> 2.3662851637640693681`5.","τ -> 3.6886613262470247003`5.","AF3 -> 1.6902806370493116774`5.","AH3 -> 0.301873267000490916`5.","AO3 -> -1.2424821194735812677`5.","AF5 -> -0.5149952542813009878`5.",-0.00081781,0.0050837
0.00057086,"s -> 0.8372277558218173635`5.","τ -> 3.615776861670806387`5.","AF3 -> 0.2353685731565636564`5.","AH3 -> 0.3357849594757574433`5.","AO3 -> -0.4543132227765987464`5.","AF5 -> -0.2927253942790274175`5.",-0.00052398,0.016968
-0.000051595,"s -> 1.8436442792405309458`5.","τ -> 9.5152775318910642845`5.","AF3 -> -0.2047060851222870023`5.","AH3 -> -0.0602249561545702911`5.","AO3 -> 0.0442667337707616455`5.","AF5 -> 1.2688626727423550773`5.",-0.000075834,6.8383e-6
0.00056905,"s -> 1.5602967967739007322`5.","τ -> 4.1961879961865024112`5.","AF3 -> 0.4787194408648028104`5.","AH3 -> 0.1966376298204921752`5.","AO3 -> -0.4454468961114422403`5.","AF5 -> -0.5292837551293447139`5.",-0.00038781,0.0034113
-0.00017501,"s -> 1.6864899801365076606`5.","τ -> 6.0981220750305653422`5.","AF3 -> -0.2998129592609853145`5.","AH3 -> -0.1054102565948924697`5.","AO3 -> 0.1967950575451115899`5.","AF5 -> 0.7260650941907110771`5.",-0.00055124,0.000056475
-0.0001626,"s -> 1.2047994890845170431`5.","τ -> 7.0052898346183493765`5.","AF3 -> 0.9725240917616927737`5.","AH3 -> 0.669993854672237165`5.","AO3 -> -1.8380043916713349255`5.","AF5 -> 1.1747234485833565584`5.",0.000039759,0.0032352
0.020579,"s -> 1.6936921072990068323`5.","τ -> 1.4062515561694782499`5.","AF3 -> 0.9557705652640799231`5.","AH3 -> 0.333184449826667569`5.","AO3 -> -0.8997067813980708487`5.","AF5 -> -0.2414361281652840655`5.",-0.12488,0.14148
-0.00020542,"s -> 1.2451538917451327333`5.","τ -> 6.5791915868812828996`5.","AF3 -> 0.4233474313459904219`5.","AH3 -> 0.2730554620958849905`5.","AO3 -> -0.9139900447239726963`5.","AF5 -> 1.1546377718406789581`5.",0.000056947,0.0015401
0.00048047,"s -> 1.22649696052384062`5.","τ -> 3.0267640025754695394`5.","AF3 -> 0.1635023649367547818`5.","AH3 -> 0.1086903747656118018`5.","AO3 -> -0.2133253492914146218`5.","AF5 -> -0.1209755483579334463`5.",-0.00062934,0.0063917
0.00069182,"s -> 2.2356959106509747181`5.","τ -> 3.7658287190599365023`5.","AF3 -> 0.490934831131362596`5.","AH3 -> 0.0982196497006223499`5.","AO3 -> -0.2913926084695832095`5.","AF5 -> -0.4174023742978081174`5.",-0.0005854,0.0016453
0.00055631,"s -> 0.9580221235267239193`5.","τ -> 2.5712429356972467863`5.","AF3 -> 0.1254683195971195349`5.","AH3 -> 0.1367045610905387218`5.","AO3 -> -0.2241048179838703648`5.","AF5 -> -0.0729471324206628734`5.",-0.0010097,0.016788
0.0018764,"s -> 0.8841063344575379957`5.","τ -> 2.1590623984569994638`5.","AF3 -> 0.0811665170612186647`5.","AH3 -> 0.1038407714478774954`5.","AO3 -> -0.1080736016928719455`5.","AF5 -> -0.1223200057202511993`5.",-0.0048302,0.02334
0.011788,"s -> 0.559120165165159254`5.","τ -> 2.2606031119225629589`5.","AF3 -> 0.0414053503561356437`5.","AH3 -> 0.1324482279952335736`5.","AO3 -> 0.3966237045380095535`5.","AF5 -> -0.9235682508924177115`5.",-0.027681,0.041011
0.00034905,"s -> 2.220024156196443976`5.","τ -> 2.1277647849207823739`5.","AF3 -> 0.1953112618627448551`5.","AH3 -> 0.0396288879762600547`5.","AO3 -> -0.1625042578299633573`5.","AF5 -> -0.0214636985663706856`5.",-0.00092517,0.0037061
-0.000073945,"s -> 3.2212338353366198543`5.","τ -> 6.9773180502259411798`5.","AF3 -> -1.3765799938756269498`5.","AH3 -> -0.1326651795571090738`5.","AO3 -> 0.7542221964221448057`5.","AF5 -> 0.5257527794831958318`5.",-0.00024249,0.000018227
-0.00010167,"s -> 0.505262516408941599`5.","τ -> 4.5291109609240994026`5.","AF3 -> 0.1081183600476452175`5.","AH3 -> 0.4235115786109291908`5.","AO3 -> -0.4657513183581935073`5.","AF5 -> 0.1283400579446755024`5.",0.000059476,0.018044
-0.00044907,"s -> 0.9675013627898714493`5.","τ -> 4.9558751573631789973`5.","AF3 -> 0.4802822748306970398`5.","AH3 -> 0.5130898082382763932`5.","AO3 -> -1.2114706772043862468`5.","AF5 -> 0.8126662659998465414`5.",0.00021941,0.0087139
-0.000017889,"s -> 1.5115940095656405437`5.","τ -> 5.59268818986906182`5.","AF3 -> 0.1303263103275030308`5.","AH3 -> 0.0570376699513422785`5.","AO3 -> -0.1849526353667113303`5.","AF5 -> 0.0525029050716146886`5.",6.8631e-6,0.00043141
