,V,fitness,s,tau,AF3,AH3,A3N3,AF5,AD5,lambda1,lambda2,taquiónico,type
0,0.3787424779713114,0.0284922091974218,1.600149459561681,3.485910062937601,-73.15317208161146,3.075126786841052,-85.68802056294936,89.70343929999017,79.13023516102793,-0.0432474458734365,0.0443976099609442,1,1
1,0.2209515121293924,0.1058185742442003,1.600149459561681,3.485910062937601,66.58317087949303,15.043235249119128,-28.53361538179056,9.870563391747265,-20.746084244992968,0.4269041317814583,0.5841944666295684,0,1
2,-0.0035671859387577,0.0388472804334009,1.600149459561681,3.485910062937601,-21.9249691526429,5.103761436198243,-56.83816888386919,63.717266097385085,29.772667794954423,-0.0240311881329246,0.0783443529276311,1,-1
3,0.6226311629328354,0.1905488470678957,1.600149459561681,3.485910062937601,43.630840699062425,21.78461114738777,-51.979009969277534,-17.631159306068454,14.421482081374773,0.4008032806382386,0.6510433979197163,0,1
4,0.092530260667085,0.0499627910717411,1.600149459561681,3.485910062937601,78.14629161532538,26.626677423598537,-77.19077675588278,34.755987851404264,-13.756139334780196,0.3724666395215496,0.7622183208587967,0,1
5,0.7439033238321666,0.2080798920222053,1.600149459561681,3.485910062937601,46.98534591943171,31.039155870371857,-78.63738521408344,-27.7193863988624,26.47073843656404,0.3585844931283578,0.817388700395176,0,1
6,0.274837992557013,0.0860801172613391,1.600149459561681,3.485910062937601,30.258629362902475,21.06817676388548,-98.26943704894214,85.78072430054716,22.14232235410012,0.4457612759427747,0.5764455545549292,0,1
7,0.036097115949743,0.0065377115140393,1.600149459561681,3.485910062937601,-29.55185585132275,0.2074653465097945,-42.2451957280792,62.19080546090402,29.85819583878761,-0.0362459702689481,0.0351072304967997,1,1
8,0.7737345898714105,0.1203100497977727,1.600149459561681,3.485910062937601,-38.62315030237577,12.762576027347574,-30.20224445952634,-82.98491952352974,61.31426775595675,-0.1973300366247407,0.2007235385929469,1,1
9,0.4135239690852053,0.1483445428421698,1.600149459561681,3.485910062937601,-56.679889482554216,-3.758490297415558,-18.175219939295584,44.99967686445145,43.50935594627009,-0.2118283056929529,0.2062501504330933,1,1
10,0.2788344308765416,0.0936221564722824,1.600149459561681,3.485910062937601,84.50351502825949,22.95606961078092,-38.27375423379069,-23.53157758891461,-22.159950755616556,0.3743645004241301,0.7502283479530241,0,1
11,0.7353916975084305,0.1034251506821046,1.600149459561681,3.485910062937601,-42.66254053525815,11.232145969421568,-38.01112649119796,-65.65390806100896,65.50559174998503,-0.1853815664238959,0.1853500071746689,1,1
12,0.4325691576936225,0.0694007119260976,1.600149459561681,3.485910062937601,-28.01047412203485,9.898231772239695,-42.29435610712562,-31.526228701568684,48.32604244050475,-0.1699675700600694,0.1766596074576442,1,1
13,0.1207839339389082,0.1668025870431607,1.600149459561681,3.485910062937601,27.685784997962397,13.164482636102544,-12.028079878683496,-53.96158669408777,-3.8908797982319694,-0.1011106639749093,0.2953949024632692,1,1
14,0.1350700958670168,0.0823623973032306,1.600149459561681,3.485910062937601,-38.91531544138322,10.571684180267612,-95.20717730344776,58.41811146251802,62.04310491178988,-0.1884477217374812,0.1888740155676579,1,1
15,-0.0004474313474891,0.0413012603166528,1.600149459561681,3.485910062937601,-8.930640052949709,7.168750543552418,-44.10223231837555,21.73567726099014,21.65221516183907,-0.1149716031148452,0.1277307932402863,1,-1
16,0.1934276371421627,0.0919729273572765,1.600149459561681,3.485910062937601,58.13357167374871,15.348859163136051,-47.65662464462435,38.25198210892184,-10.849665231751462,0.4302019818263798,0.5916624271125795,0,1
17,0.0238031588728099,0.0016776350520103,1.600149459561681,3.485910062937601,-17.00702155418121,1.8291097540112369,-30.49088306445268,35.05323417266089,19.746339239553663,-0.0179153525569579,0.0192373759238199,1,1
18,0.3369262477181168,0.0355592814297886,1.600149459561681,3.485910062937601,-24.71548972239942,5.180278969515128,-29.63341337938773,-11.764191999761916,36.88193600996597,-0.0645833514953239,0.0927544731955687,1,1
19,0.0825009364568699,0.0065956729301546,1.600149459561681,3.485910062937601,-41.48081658630243,2.371246909233244,-63.63014982084885,79.70310949787546,44.9800224665902,-0.0325145430562171,0.0312263493427309,1,1
20,0.2930460040966847,0.0838881227734033,1.600149459561681,3.485910062937601,76.49483851813305,28.15805505770188,-73.80403250695099,4.104927484398958,-5.299720009476983,0.3569924401860278,0.8275185489995236,0,1
21,0.8259791034011097,0.1892566904686134,1.600149459561681,3.485910062937601,-52.12920810686219,14.804510902248616,-63.93846715543086,-65.1954817484652,85.71794467100345,-0.2775123414172112,0.2778193635796162,1,1
22,0.5361934521893488,0.0369497697874558,1.600149459561681,3.485910062937601,-64.76269617908179,6.853631331436292,-71.38358772213343,34.16723307301616,77.1023973427398,-0.0620936491432487,0.0660125327077906,1,1
