comp_1,comp_2,target
901.4526987615758,1466.673118737102,3
-614.9462231361517,2675.300468652792,3
-1653.5103955808377,-2332.0331800882373,1
-2006.2281763387125,-678.2251049256121,2
-221.7793549594782,-322.06298064552533,0
506.26811906258484,2.2157737395630885,2
605.5956200639754,-67.61133123658874,3
1235.0653167423961,642.7700545713262,3
1128.436518690926,754.7261540780004,1
1080.0169839031932,480.2163851106433,3
-401.794156359139,-354.2677562078291,0
315.06033354154954,-80.8239003566498,1
-1613.3319877988565,-802.9617168541043,0
-1617.2622176831946,-755.9584944658887,0
-1240.0953564118092,-821.0658093078949,0
-261.15721011430526,6826.160834718545,2
376.5893208885628,151.3744978516115,1
-1039.7932320938319,-374.51504462991016,2
1696.7834135584887,101.93595679490642,3
-1866.4775472960841,-1275.5522626893376,0
-1884.1938175880896,-1011.3253115214407,0
-1028.4879382621866,-661.0337543400894,0
-167.99353953668918,-64.35332030785693,2
-101.35979331644246,1286.5409077072043,3
-863.0883125067885,-604.995810582015,0
1881.494408725502,1262.2003649804233,3
1275.864731666822,-964.3367767338297,1
-1156.9100237514515,1262.4447597003723,2
-3.902672298713032,90.10934811442092,0
3060.8375686937147,406.9661722888181,3
-1628.3514154132185,-846.8035130165264,0
3287.4272286251776,479.92359725606656,1
-1068.5651150525002,-516.6988633636795,2
1850.301644096759,604.6532747781396,3
-997.2543746982622,-251.49368104179572,2
2824.2406562256656,1442.358480796785,2
508.09860282255414,19.735626779172343,3
-1574.2364943434443,-2423.0051255330623,0
414.0856304475332,711.6864275598945,3
4453.527629581706,1069.3348154158684,3
1020.2064638423415,-117.30925574891758,1
-827.5801500878009,334.69319949277804,2
-2014.5907935380822,-970.9636834585127,0
-1707.981456870966,-944.9078945864769,0
-503.3842394019657,-947.7137215590025,1
-908.1362323106397,-219.93824586052466,0
996.9788311525574,328.1735119837395,3
-3199.2735784852553,-3498.979370628705,0
-2239.4410067855806,-1926.2437255865875,0
2160.704819004504,1436.4825155211597,3
1080.579471611918,108.0375713642601,3
-680.3217193365043,-319.5990934715824,0
954.9724943425501,128.70069622928418,1
-83.10957996640558,-61.306858341985524,1
-980.5237695709837,-430.2872435435657,2
-2496.135590158866,-1446.9785145085204,0
639.1932610267579,440.6331661998575,3
610.5797040743579,349.6035473890158,3
655.0917512721536,879.9802353569615,2
504.46949353245253,384.49025662411407,0
666.3995155117175,-11.615616278273198,1
-1473.7613507455317,-631.2461231833802,2
-458.3749684668633,-529.5019867295607,1
2757.3333916723664,897.6666525618124,3
-1038.5103887560729,998.8745542247073,2
-1370.61901235656,-112.91798606361692,2
-8.739440239961446,462.1631879450866,3
-1655.6429135288984,-664.9173551359909,2
2267.674295053532,585.8334792873908,3
-222.94082266790238,113.77633667644807,2
384.3476013210194,-3199.3090344469924,1
-2493.5531322935663,-1908.592448136808,0
-1169.3982036023065,-1145.8649583192046,1
752.9822188378728,191.58024408377244,3
629.5664222924075,270.85417544179376,3
633.5860084130084,41.15238316994317,1
-474.35422927818087,1026.88364868411,2
1658.592724035993,-2505.9144707162895,1
-1944.3739606816764,-827.4014220067912,2
-1969.9159931220286,-1290.32505080109,0
1510.057455552486,1198.7919942876426,3
1472.1045329199349,627.1708305297992,3
493.9625125044967,102.13439723262465,3
-1453.6313896094198,-707.3234830461982,2
-915.4457072516421,-428.541609605394,2
-1799.3790553920708,-641.9006425170271,0
57.335582362955904,4549.658602199726,2
-1175.348317491407,-773.627866449964,0
722.8210276102391,664.8917436755443,3
1511.385445819855,328.5527651974444,1
-2345.2790567176535,-1350.5015415984772,0
-912.0489011066566,-966.0438697534348,0
-2176.247798197809,-1456.5861778707251,0
-2118.8892320997898,-894.8353312075978,2
1384.9794436560455,392.5941716277526,3
504.1383552681183,437.90245409916514,1
47.63415599120564,2998.5928010588696,2
-516.2168155871731,-837.1207211115235,1
-523.315024436977,-424.7646195745076,0
364.0635594854515,-352.2782819871488,1
1654.365183846915,132.66505421170606,3
731.7877023409349,66.7395851163726,3
705.5773916962651,2.1682830151679897,3
2209.6411629567665,762.8084306286268,3
213.3693779832074,986.2279460662114,3
-1106.439114898691,-500.24815313237855,2
-771.0221351582899,-448.90880525903924,0
-1604.9765092895977,-469.470256673821,0
-2150.6443315170122,-1581.0601805569931,0
-1796.192921680682,-748.456480493221,0
-1662.0300577524997,-856.7165269390546,2
-1844.6678949905347,-933.7741634061159,0
-1794.490360182899,-1937.9421573578218,0
1167.0370035272936,247.69002650003506,3
